replay r=1482  SINGLETON_COL       idx=2413   idx2=3589   coef=1           reclo=0           rechi=10195       val=0           aTR=1         x:1.4278497164812025e-321->1506 d:1->0 y[idx]=0 solrow[TR]:0->1506
replay r=1322  FIXED_COL           idx=2397   idx2=0      coef=0           reclo=0           rechi=0           val=18          aTR=1         x:2.430802977538933e-321->18 d:5.38037e-321->-2386.3 y[idx]=21330.1 solrow[TR]:1506->1524
replay r=1321  FIXED_COL           idx=2393   idx2=0      coef=0           reclo=0           rechi=0           val=15          aTR=1         x:6.6991065205101913e-310->15 d:0->-14811.3 y[idx]=0 solrow[TR]:1524->1539
replay r=1320  FIXED_COL           idx=2389   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:1->14 d:7.11455e-322->-7811.81 y[idx]=7143.79 solrow[TR]:1539->1553
replay r=1319  FIXED_COL           idx=2385   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.1145453001139502e-322->14 d:7.11455e-322->-10263.5 y[idx]=-5160.62 solrow[TR]:1553->1567
replay r=1318  FIXED_COL           idx=2381   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:1.9762625833649862e-321->14 d:7.11455e-322->-17886.3 y[idx]=-1970.81 solrow[TR]:1567->1581
replay r=1317  FIXED_COL           idx=2377   idx2=0      coef=0           reclo=0           rechi=0           val=36          aTR=1         x:0->36 d:-1->-15512.2 y[idx]=-8250.22 solrow[TR]:1581->1617
replay r=1316  FIXED_COL           idx=2373   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:5.5533e-321->-14917.5 y[idx]=-2473.04 solrow[TR]:1617->1631
replay r=1315  FIXED_COL           idx=2369   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:2.1393042464925975e-321->14 d:5.25625e-310->-9966.01 y[idx]=6821.26 solrow[TR]:1631->1645
replay r=1314  FIXED_COL           idx=2365   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:1->-10732.8 y[idx]=1806.21 solrow[TR]:1645->1659
replay r=1313  FIXED_COL           idx=2361   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:0->-6252.93 y[idx]=0 solrow[TR]:1659->1673
replay r=1312  FIXED_COL           idx=2357   idx2=0      coef=0           reclo=0           rechi=0           val=29          aTR=1         x:1->29 d:0->-16350.7 y[idx]=0 solrow[TR]:1673->1702
replay r=1311  FIXED_COL           idx=2353   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:4.7627928259096167e-321->14 d:7.11455e-322->-17858 y[idx]=0 solrow[TR]:1702->1716
replay r=1310  FIXED_COL           idx=2349   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:4.9851223665381776e-321->14 d:7.11455e-322->-9905.71 y[idx]=-1730.96 solrow[TR]:1716->1730
replay r=1309  FIXED_COL           idx=2345   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:1.9466186446145114e-321->14 d:4.27367e-321->-10691.7 y[idx]=1027.45 solrow[TR]:1730->1744
