bgdbg1       infeasible rows=348 cols=407 shape=ok iters=3 work=15234 presolve=348/407/1440->348/407/1440 expected=infeasible verdict=ok det=ok
bgetam       infeasible rows=400 cols=688 shape=ok iters=14 work=26559 presolve=400/688/2409->400/688/2409 expected=infeasible verdict=ok det=ok
bgindy       infeasible rows=2671 cols=10116 shape=ok iters=2 work=194442 presolve=2671/10116/65502->2671/10116/65502 expected=infeasible verdict=ok det=ok
bgprtr       infeasible rows=20 cols=34 shape=ok iters=25 work=14880 presolve=20/34/64->20/34/64 expected=infeasible verdict=ok det=ok
box1         infeasible rows=231 cols=261 shape=ok iters=16 work=23474 presolve=231/261/651->231/261/651 expected=infeasible verdict=ok det=ok
ceria3d      infeasible rows=3576 cols=824 shape=ok iters=977 work=21269703 presolve=3576/824/17602->3576/824/17602 expected=infeasible verdict=ok det=ok
chemcom      infeasible rows=288 cols=720 shape=ok iters=6 work=17832 presolve=288/720/1566->288/720/1566 expected=infeasible verdict=ok det=ok
cplex1       infeasible rows=3005 cols=3221 shape=ok iters=1399 work=16502429 presolve=3005/3221/8944->3005/3221/8944 expected=infeasible verdict=ok det=ok
cplex2       infeasible rows=224 cols=221 shape=ok iters=463 work=2791002 presolve=224/221/1058->224/221/1058 expected=infeasible verdict=ok det=ok
ex72a        infeasible rows=197 cols=215 shape=ok iters=137 work=136259 presolve=197/215/467->197/215/467 expected=infeasible verdict=ok det=ok
ex73a        infeasible rows=193 cols=211 shape=ok iters=100 work=77081 presolve=193/211/457->193/211/457 expected=infeasible verdict=ok det=ok
forest6      infeasible rows=66 cols=95 shape=ok iters=77 work=90571 presolve=66/95/210->66/95/210 expected=infeasible verdict=ok det=ok
galenet      infeasible rows=8 cols=8 shape=ok iters=1 work=8431 presolve=8/8/16->8/8/16 expected=infeasible verdict=ok det=ok
gosh         infeasible rows=3792 cols=10733 shape=ok iters=21653 work=2257882067 presolve=3792/10733/97231->3792/10733/97231 expected=infeasible verdict=ok det=ok
gran         infeasible rows=2658 cols=2520 shape=ok iters=2058 work=30452201 presolve=2658/2520/20106->2658/2520/20106 expected=infeasible verdict=ok det=ok
greenbea     infeasible rows=2504 cols=5405 shape=ok iters=2200 work=90062541 presolve=2504/5405/34937->2504/5405/34937 expected=infeasible verdict=ok det=ok
itest2       infeasible rows=9 cols=4 shape=ok iters=3 work=8687 presolve=9/4/17->9/4/17 expected=infeasible verdict=ok det=ok
itest6       infeasible rows=11 cols=8 shape=ok iters=3 work=8784 presolve=11/8/20->11/8/20 expected=infeasible verdict=ok det=ok
klein1       infeasible rows=54 cols=54 shape=ok iters=119 work=533623 presolve=54/54/696->54/54/696 expected=infeasible verdict=ok det=ok
klein2       infeasible rows=477 cols=54 shape=ok iters=213 work=3930190 presolve=477/54/4585->477/54/4585 expected=infeasible verdict=ok det=ok
klein3       infeasible rows=994 cols=88 shape=ok iters=395 work=17463171 presolve=994/88/12107->994/88/12107 expected=infeasible verdict=ok det=ok
mondou2      infeasible rows=312 cols=604 shape=ok iters=280 work=314494 presolve=312/604/1208->312/604/1208 expected=infeasible verdict=ok det=ok
pang         infeasible rows=361 cols=460 shape=ok iters=439 work=1956341 presolve=361/460/2652->361/460/2652 expected=infeasible verdict=ok det=ok
pilot4i      infeasible rows=410 cols=1000 shape=ok iters=438 work=8107049 presolve=410/1000/5141->410/1000/5141 expected=infeasible verdict=ok det=ok
qual         infeasible rows=323 cols=464 shape=ok iters=476 work=1849739 presolve=323/464/1646->323/464/1646 expected=infeasible verdict=ok det=ok
reactor      infeasible rows=318 cols=637 shape=ok iters=44 work=48283 presolve=318/637/2420->318/637/2420 expected=infeasible verdict=ok det=ok
refinery     infeasible rows=323 cols=464 shape=ok iters=387 work=1051745 presolve=323/464/1626->323/464/1626 expected=infeasible verdict=ok det=ok
vol1         infeasible rows=323 cols=464 shape=ok iters=465 work=1757690 presolve=323/464/1646->323/464/1646 expected=infeasible verdict=ok det=ok
woodinfe     infeasible rows=35 cols=89 shape=ok iters=37 work=19111 presolve=35/89/140->35/89/140 expected=infeasible verdict=ok det=ok

29 instances: 29 correctly refused, 29 shape ok, 29 deterministic, 0 failed
gate: PASS

-- against baseline --
baseline: 0 regressed, 0 improved, 0 new
