instance       rows   cols |   hits rows_hit nz_saved |  cost0 costNZ
25fv47.mps      821   1571 |      2       2       16 |      0      2
80bau3b.mps    2262   9799 |     14      14       65 |      1     13
adlittle.mps     56     97 |      0       0        0 |      0      0
afiro.mps        27     32 |      0       0        0 |      0      0
agg.mps         488    163 |      0       0        0 |      0      0
agg2.mps        516    302 |      0       0        0 |      0      0
agg3.mps        516    302 |      0       0        0 |      0      0
bandm.mps       305    472 |      6       6       48 |      1      5
beaconfd.mps    173    262 |     37      37     1228 |      0     37
blend.mps        74     83 |      3       3       45 |      0      3
bnl1.mps        643   1175 |      0       0        0 |      0      0
bnl2.mps       2324   3489 |    125     120      240 |    121      4
boeing1.mps     351    384 |      0       0        0 |      0      0
boeing2.mps     166    143 |      0       0        0 |      0      0
bore3d.mps      233    315 |     86      86      283 |      2     84
brandy.mps      220    249 |      2       2       17 |      2      0
capri.mps       271    353 |     10      10       74 |      0     10
cycle.mps      1903   2857 |    134     134      885 |    134      0
czprob.mps      929   3523 |     20      20     3663 |     19      1
d2q06c.mps     2171   5167 |     29      29      894 |     23      6
d6cube.mps      415   6184 |      0       0        0 |      0      0
degen2.mps      444    534 |      0       0        0 |      0      0
degen3.mps     1503   1818 |      0       0        0 |      0      0
dfl001.mps     6071  12230 |     83      83      282 |     83      0
e226.mps        223    282 |      0       0        0 |      0      0
etamacro.mps    400    688 |      6       6       24 |      6      0
fffff800.mps    524    854 |      8       8      264 |      0      8
finnis.mps      497    614 |      4       4        8 |      0      4
fit1d.mps        24   1026 |      0       0        0 |      0      0
fit1p.mps       627   1677 |      0       0        0 |      0      0
fit2d.mps        25  10500 |      0       0        0 |      0      0
fit2p.mps      3000  13525 |      0       0        0 |      0      0
forplan.mps     161    421 |     13      13       71 |      0     13
ganges.mps     1309   1681 |     12      12       36 |     12      0
gfrd-pnc.mps    616   1092 |      0       0        0 |      0      0
greenbea.mps   2392   5405 |     23      23      172 |      8     15
greenbeb.mps   2392   5405 |     22      22      436 |      8     14
grow15.mps      300    645 |      0       0        0 |      0      0
grow22.mps      440    946 |      0       0        0 |      0      0
grow7.mps       140    301 |      0       0        0 |      0      0
israel.mps      174    142 |      0       0        0 |      0      0
kb2.mps          43     41 |      0       0        0 |      0      0
lotfi.mps       153    308 |      6       6       12 |      0      6
maros-r7.mps   3136   9408 |    984     984    44362 |      0    984
maros.mps       846   1443 |     36      36      515 |     12     24
modszk1.mps     687   1620 |     19      19       71 |     19      0
nesm.mps        662   2923 |      0       0        0 |      0      0
perold.mps      625   1376 |      8       8      120 |      8      0
pilot-ja.mps    940   1988 |     12      12      171 |     12      0
pilot-we.mps    722   2789 |      4       4       41 |      3      1
pilot.mps      1441   3652 |      1       1        3 |      1      0
pilot4.mps      410   1000 |      1       1       11 |      1      0
pilot87.mps    2030   4883 |     11      11      116 |     11      0
pilotnov.mps    975   2172 |     16      16      196 |     16      0
recipe.mps       91    180 |     15      14       53 |     12      3
sc105.mps       105    103 |      0       0        0 |      0      0
sc205.mps       205    203 |      1       1        1 |      1      0
sc50a.mps        50     48 |      0       0        0 |      0      0
sc50b.mps        50     48 |      0       0        0 |      0      0
scagr25.mps     471    500 |      1       1        2 |      0      1
scagr7.mps      129    140 |      1       1        2 |      0      1
scfxm1.mps      330    457 |      8       8      197 |      1      7
scfxm2.mps      660    914 |     16      16      394 |      2     14
scfxm3.mps      990   1371 |     24      24      591 |      3     21
scorpion.mps    388    358 |      3       3       11 |      0      3
scrs8.mps       490   1169 |      4       4       10 |      4      0
scsd1.mps        77    760 |      0       0        0 |      0      0
scsd6.mps       147   1350 |      0       0        0 |      0      0
scsd8.mps       397   2750 |      0       0        0 |      0      0
sctap1.mps      300    480 |      0       0        0 |      0      0
sctap2.mps     1090   1880 |      0       0        0 |      0      0
sctap3.mps     1480   2480 |      0       0        0 |      0      0
seba.mps        515   1028 |      1       1       16 |      1      0
share1b.mps     117    225 |      0       0        0 |      0      0
share2b.mps      96     79 |      0       0        0 |      0      0
shell.mps       536   1775 |      0       0        0 |      0      0
ship04l.mps     402   2118 |     25      25     1574 |      0     25
ship04s.mps     402   1458 |     25      25     1063 |      0     25
ship08l.mps     778   4283 |     50      50     3182 |      0     50
ship08s.mps     778   2387 |     50      50     1706 |      0     50
ship12l.mps    1151   5427 |     77      77     4223 |      0     77
ship12s.mps    1151   2763 |     77      77     2170 |      0     77
sierra.mps     1227   2036 |      0       0        0 |      0      0
stair.mps       356    467 |      0       0        0 |      0      0
standata.mps    359   1075 |      4       4      856 |      0      4
standmps.mps    467   1075 |      4       4      856 |      0      4
stocfor1.mps    117    111 |      3       3       24 |      0      3
stocfor2.mps   2157   2031 |    129     129      839 |      0    129
stocfor3.mps  16675  15695 |   1025    1025     6663 |      0   1025
truss.mps      1000   8806 |      0       0        0 |      0      0
tuff.mps        333    587 |     30      30      264 |     30      0
vtp-base.mps    198    203 |      6       6      142 |      0      6
wood1p.mps      244   2594 |      1       1     2505 |      0      1
woodw.mps      1098   8405 |      4       4     5908 |      0      4
