# phase 1's hand-over margin, forced primal, standard set
# tree: 4f25835effef1d4d3ec569e115a01e4e79ffab3f plus patch.py, in a worktree

instance          carried xb   refreshed xb     primal_tol  after/tol
25fv47.mps       3.08273e-14              0          1e-07     0.0000
80bau3b.mps                0              0          1e-07     0.0000
adlittle.mps               0              0          1e-07     0.0000
afiro.mps                  0              0          1e-07     0.0000
agg.mps          4.54829e-13              0          1e-07     0.0000
agg2.mps                   0              0          1e-07     0.0000
agg3.mps         1.42109e-14              0          1e-07     0.0000
bandm.mps                  0              0          1e-07     0.0000
beaconfd.mps               0              0          1e-07     0.0000
blend.mps                  0              0          1e-07     0.0000
bnl1.mps         2.19859e-15    5.55112e-17          1e-07     0.0000
bnl2.mps         4.46208e-15              0          1e-07     0.0000
boeing1.mps      2.20617e-15              0          1e-07     0.0000
boeing2.mps      6.40032e-14    1.33227e-15          1e-07     0.0000
bore3d.mps       9.87331e-14              0          1e-07     0.0000
brandy.mps                 0    3.15273e-14          1e-07     0.0000
capri.mps                  0              0          1e-07     0.0000
cycle.mps                  0              0          1e-07     0.0000
czprob.mps                 0              0          1e-07     0.0000
d2q06c.mps       2.43792e-12    1.25214e-14          1e-07     0.0000
degen2.mps        7.7804e-16    4.88498e-15          1e-07     0.0000
e226.mps                   0              0          1e-07     0.0000
etamacro.mps     1.38778e-16    1.11022e-16          1e-07     0.0000
fffff800.mps     8.99386e-17              0          1e-07     0.0000
finnis.mps                 0              0          1e-07     0.0000
fit1d.mps                  0              0          1e-07     0.0000
fit1p.mps                  0              0          1e-07     0.0000
fit2d.mps                  0              0          1e-07     0.0000
fit2p.mps                  0              0          1e-07     0.0000
forplan.mps                0    2.59992e-14          1e-07     0.0000
ganges.mps       1.81899e-12    1.81899e-12          1e-07     0.0000
gfrd-pnc.mps               0              0          1e-07     0.0000
greenbea.mps     1.61088e-12    2.28805e-13          1e-07     0.0000
greenbeb.mps     1.58532e-13    6.43025e-13          1e-07     0.0000
grow15.mps                 0              0          1e-07     0.0000
grow22.mps                 0              0          1e-07     0.0000
grow7.mps                  0              0          1e-07     0.0000
israel.mps                 0              0          1e-07     0.0000
kb2.mps                    0              0          1e-07     0.0000
lotfi.mps                  0              0          1e-07     0.0000
maros.mps        7.04858e-14    7.04858e-14          1e-07     0.0000
modszk1.mps                0              0          1e-07     0.0000
nesm.mps                   0              0          1e-07     0.0000
perold.mps       4.44089e-16              0          1e-07     0.0000
pilot-ja.mps     1.57097e-13    4.55885e-15          1e-07     0.0000
pilot-we.mps     7.10543e-15    7.10543e-15          1e-07     0.0000
pilot.mps        4.68921e-12              0          1e-07     0.0000
pilot4.mps       1.34293e-10              0          1e-07     0.0000
pilotnov.mps               0    8.67362e-16          1e-07     0.0000
recipe.mps                 0              0          1e-07     0.0000
sc105.mps                  0              0          1e-07     0.0000
sc205.mps                  0              0          1e-07     0.0000
sc50a.mps                  0              0          1e-07     0.0000
sc50b.mps                  0              0          1e-07     0.0000
scagr25.mps      1.74254e-14              0          1e-07     0.0000
scagr7.mps                 0              0          1e-07     0.0000
scfxm1.mps                 0              0          1e-07     0.0000
scfxm2.mps                 0              0          1e-07     0.0000
scfxm3.mps       9.30053e-15    2.27374e-15          1e-07     0.0000
scorpion.mps      1.9641e-15    2.88658e-15          1e-07     0.0000
scsd1.mps        7.63278e-18              0          1e-07     0.0000
scsd6.mps                  0              0          1e-07     0.0000
sctap1.mps       3.31852e-16    6.66134e-16          1e-07     0.0000
sctap2.mps       8.88527e-16    8.88178e-16          1e-07     0.0000
sctap3.mps       1.73472e-17              0          1e-07     0.0000
seba.mps                   0              0          1e-07     0.0000
share1b.mps                0              0          1e-07     0.0000
share2b.mps                0              0          1e-07     0.0000
shell.mps                  0              0          1e-07     0.0000
ship04l.mps                0              0          1e-07     0.0000
ship04s.mps      2.84217e-14    2.84217e-14          1e-07     0.0000
ship08l.mps      2.84217e-14    2.84217e-14          1e-07     0.0000
ship08s.mps      8.88178e-15    8.88178e-15          1e-07     0.0000
ship12l.mps                0              0          1e-07     0.0000
ship12s.mps                0              0          1e-07     0.0000
sierra.mps       4.54747e-13    4.54747e-13          1e-07     0.0000
stair.mps                  0              0          1e-07     0.0000
standata.mps               0              0          1e-07     0.0000
standmps.mps               0              0          1e-07     0.0000
stocfor1.mps     3.05938e-15              0          1e-07     0.0000
stocfor2.mps               0     1.9051e-15          1e-07     0.0000
stocfor3.mps     1.42138e-14    7.10543e-15          1e-07     0.0000
truss.mps                  0              0          1e-07     0.0000
tuff.mps         2.67895e-16              0          1e-07     0.0000
vtp-base.mps               0              0          1e-07     0.0000
woodw.mps        1.73472e-18              0          1e-07     0.0000

reached the hand-over on 86 of 94 instances
worst refreshed violation as a fraction of primal_tol: 0.000018  on ganges.mps
