# tree: cee723a plus a JAOS_DIAG patch, outside the repo
# phase-1 infeasibility is a SUM OF BOUND VIOLATIONS: it must not rise.
# instances: dfl001 -- all three overrun inside phase 1 at both settings.

## PIVOT_MARGIN=0
DIV dfl001 | phase 1, iter 0: infeasibility 8209, work 124982
DIV dfl001 | phase 1, iter 1000: infeasibility 8191, work 92051759
DIV dfl001 | phase 1, iter 2000: infeasibility 8191, work 195695148
DIV dfl001 | phase 1, iter 3000: infeasibility 8191, work 306538181
DIV dfl001 | phase 1, iter 4000: infeasibility 8191, work 423977414
DIV dfl001 | phase 1, iter 5000: infeasibility 8191, work 544350268
DIV dfl001 | phase 1, iter 6000: infeasibility 8191, work 666352919
DIV dfl001 | phase 1, iter 7000: infeasibility 8191, work 787088808
DIV dfl001 | phase 1, iter 8000: infeasibility 8191, work 909465517
DIV dfl001 | phase 1, iter 9000: infeasibility 8191, work 1032384865
DIV dfl001 | phase 1, iter 10000: infeasibility 8191, work 1152784479
DIV dfl001 | phase 1, iter 11000: infeasibility 8191, work 1275403324
DIV dfl001 | phase 1, iter 12000: infeasibility 8191, work 1397005365
DIV dfl001 | phase 1, iter 13000: infeasibility 8191, work 1522109849
DIV dfl001 | phase 1, iter 14000: infeasibility 8191, work 1649000026
DIV dfl001 | phase 1, iter 15000: infeasibility 8191, work 1777073893
DIV dfl001 | phase 1, iter 16000: infeasibility 8191, work 1903462013
DIV dfl001 | phase 1, iter 17000: infeasibility 8191, work 2030102848
DIV dfl001 | phase 1, iter 18000: infeasibility 8191, work 2156286817
DIV dfl001 | phase 1, iter 19000: infeasibility 8191, work 2280127177
DIV dfl001 | phase 1, iter 20000: infeasibility 8191, work 2410342729
DIV dfl001 | phase 1, iter 21000: infeasibility 8191, work 2540020722
DIV dfl001 | phase 1, iter 22000: infeasibility 8191, work 2670367667
DIV dfl001 | phase 1, iter 23000: infeasibility 7976.59, work 2796318876
DIV dfl001 | phase 1, iter 24000: infeasibility 7886.61, work 2928090360
DIV dfl001 | phase 1, iter 25000: infeasibility 7822.36, work 3067531142
DIV dfl001 | phase 1, iter 26000: infeasibility 7761.99, work 3213403511
DIV dfl001 | phase 1, iter 27000: infeasibility 7704.24, work 3359116822
DIV dfl001 | phase 1, iter 28000: infeasibility 7654.51, work 3515283391
DIV dfl001 | phase 1, iter 29000: infeasibility 7605.5, work 3682394959
DIV dfl001 | phase 1, iter 30000: infeasibility 7567.43, work 3854031125
DIV dfl001 | phase 1, iter 31000: infeasibility 7537.24, work 4033254986
DIV dfl001 | phase 1, iter 32000: infeasibility 7512.94, work 4214898128
DIV dfl001 | phase 1, iter 33000: infeasibility 7493.28, work 4401166297
DIV dfl001 | phase 1, iter 34000: infeasibility 7467.7, work 4591715446
DIV dfl001 | phase 1, iter 35000: infeasibility 7445.76, work 4784055470
DIV dfl001 | phase 1, iter 36000: infeasibility 7425, work 4981497649
DIV dfl001 | phase 1, iter 37000: infeasibility 7407.59, work 5177990171
DIV dfl001 | phase 1, iter 38000: infeasibility 7386.76, work 5380489050
DIV dfl001 | phase 1, iter 39000: infeasibility 7371.7, work 5585023926
DIV dfl001 | phase 1, iter 40000: infeasibility 7354.57, work 5794136714
DIV dfl001 | phase 1, iter 41000: infeasibility 7337.77, work 6001343577
DIV dfl001 | phase 1, iter 42000: infeasibility 7317.59, work 6216040843
DIV dfl001 | phase 1, iter 43000: infeasibility 7301.63, work 6432042173
DIV dfl001 | phase 1, iter 44000: infeasibility 7283.38, work 6647826824
DIV dfl001 | phase 1, iter 45000: infeasibility 7271.32, work 6864875376
DIV dfl001 | phase 1, iter 46000: infeasibility 7254.74, work 7078627741
DIV dfl001 | phase 1, iter 47000: infeasibility 7237.52, work 7300600670
DIV dfl001 | phase 1, iter 48000: infeasibility 7224.41, work 7522898408
DIV dfl001 | phase 1, iter 49000: infeasibility 7212.44, work 7746761148
DIV dfl001 | phase 1, iter 50000: infeasibility 7199.4, work 7980086041
DIV dfl001 | phase 1, iter 51000: infeasibility 7183.22, work 8214614842
DIV dfl001 | phase 1, iter 52000: infeasibility 7170.85, work 8449300230
DIV dfl001 | phase 1, iter 53000: infeasibility 7156.19, work 8685619885
DIV dfl001 | phase 1, iter 54000: infeasibility 7145.14, work 8920934689
DIV dfl001 | phase 1, iter 55000: infeasibility 7135.09, work 9148059849
DIV dfl001 | phase 1, iter 56000: infeasibility 7125.17, work 9378753932
DIV dfl001 | phase 1, iter 57000: infeasibility 7113.43, work 9611169000
DIV dfl001 | phase 1, iter 58000: infeasibility 7104.6, work 9840389856
DIV dfl001 | phase 1, iter 59000: infeasibility 7091.78, work 10071991500
DIV dfl001 | phase 1, iter 60000: infeasibility 7080.85, work 10311013777
DIV dfl001 | phase 1, iter 61000: infeasibility 7071.42, work 10553852910
DIV dfl001 | phase 1, iter 62000: infeasibility 7061.85, work 10792257806
DIV dfl001 | phase 1, iter 63000: infeasibility 7052.44, work 11034071573
DIV dfl001 | phase 1, iter 64000: infeasibility 7044.44, work 11274025302
DIV dfl001 | phase 1, iter 65000: infeasibility 7038.22, work 11505238519
DIV dfl001 | phase 1, iter 66000: infeasibility 7028.94, work 11739116065
DIV dfl001 | phase 1, iter 67000: infeasibility 7019.19, work 11975320743
DIV dfl001 | phase 1, iter 68000: infeasibility 7010.91, work 12217145451
DIV dfl001 | phase 1, iter 69000: infeasibility 7000.56, work 12461611396
DIV dfl001 | phase 1, iter 70000: infeasibility 6992.8, work 12700277683
DIV dfl001 | phase 1, iter 71000: infeasibility 6983.65, work 12936600972
DIV dfl001 | phase 1, iter 72000: infeasibility 6973.75, work 13181941363
DIV dfl001 | phase 1, iter 73000: infeasibility 6962.51, work 13425733843
DIV dfl001 | phase 1, iter 74000: infeasibility 6952.65, work 13675239321
DIV dfl001 | phase 1, iter 75000: infeasibility 6941.26, work 13921750546
DIV dfl001 | phase 1, iter 76000: infeasibility 6930.82, work 14175453952
DIV dfl001 | phase 1, iter 77000: infeasibility 6921.89, work 14433500842
DIV dfl001 | phase 1, iter 78000: infeasibility 6911.34, work 14682779488
DIV dfl001 | phase 1, iter 79000: infeasibility 6905.06, work 14933790095
DIV dfl001 | phase 1, iter 80000: infeasibility 6895.33, work 15193944154
