# tree: cee723a, PIVOT_MARGIN = 1.0 as it ships
# pilot87 only, -j 1, JAOS_LOG_DETAIL on the forced-primal solve

P87 phase 1, iter 0: infeasibility 7.71859e+13, work 372352
P87 phase 1, iter 1000: infeasibility 7.71859e+13, work 128829870
P87 phase 1, iter 2000: infeasibility 7.71856e+13, work 286776308
P87 phase 1, iter 3000: infeasibility 7.71845e+13, work 447288722
P87 phase 1, iter 4000: infeasibility 7.71614e+13, work 606142197
P87 phase 1, iter 5000: infeasibility 5.90265e+13, work 773895725
P87 phase 1, iter 6000: infeasibility 5.90265e+13, work 949598554
P87 phase 1, iter 7000: infeasibility 5.9008e+13, work 1114688366
P87 phase 1, iter 8000: infeasibility 3.67706e+13, work 1276591230
P87 phase 1, iter 9000: infeasibility 3.46425e+13, work 1457635778
P87 phase 1, iter 10000: infeasibility 3.46425e+13, work 1648081956
P87 phase 1, iter 11000: infeasibility 3.01762e+13, work 1829251633
P87 phase 1, iter 12000: infeasibility 3.00392e+13, work 2034809064
P87 phase 1, iter 13000: infeasibility 3.00392e+13, work 2246887413
P87 phase 1, iter 14000: infeasibility 3.00392e+13, work 2453285819
P87 phase 1, iter 15000: infeasibility 2.96996e+13, work 2645434404
P87 phase 1, iter 16000: infeasibility 2.96146e+13, work 2847746539
P87 phase 1, iter 17000: infeasibility 2.22948e+13, work 3042170832
P87 phase 1, iter 18000: infeasibility 2.22818e+13, work 3257245495
P87 phase 1, iter 19000: infeasibility 2.22826e+13, work 3476555234
P87 phase 1, iter 20000: infeasibility 1.84773e+13, work 3688404850
P87 phase 1, iter 21000: infeasibility 1.8411e+13, work 3901010909
P87 phase 1, iter 22000: infeasibility 1.83432e+13, work 4125296219
P87 phase 1, iter 23000: infeasibility 1.36728e+13, work 4350254353
P87 phase 1, iter 24000: infeasibility 5.72927e+12, work 4568093044
P87 phase 1, iter 25000: infeasibility 4.87565e+12, work 4839725483
P87 phase 1, iter 26000: infeasibility 4.87541e+12, work 5180913358
P87 phase 1, iter 27000: infeasibility 4.87538e+12, work 5521785085
P87 phase 1, iter 28000: infeasibility 4.87537e+12, work 5862239716
P87 phase 1, iter 29000: infeasibility 4.87537e+12, work 6183784956
P87 phase 1, iter 30000: infeasibility 4.87536e+12, work 6487871897
P87 phase 1, iter 31000: infeasibility 4.87535e+12, work 6780097031
P87 phase 1, iter 32000: infeasibility 4.87532e+12, work 7074838555
P87 phase 1, iter 33000: infeasibility 4.87565e+12, work 7396244761
P87 phase 1, iter 34000: infeasibility 4.87565e+12, work 7718077216
P87 phase 1, iter 35000: infeasibility 4.87564e+12, work 8024885085
P87 phase 1, iter 36000: infeasibility 4.8754e+12, work 8330755141
P87 phase 1, iter 37000: infeasibility 4.87526e+12, work 8626929257
P87 phase 1, iter 38000: infeasibility 4.87515e+12, work 8923313690
P87 phase 1, iter 39000: infeasibility 4.87496e+12, work 9187122187
P87 phase 1, iter 40000: infeasibility 4.87348e+12, work 9440209991
P87 phase 1, iter 41000: infeasibility 4.86823e+12, work 9681861723
P87 phase 1, iter 42000: infeasibility 4.82448e+12, work 9932903393
P87 phase 1, iter 43000: infeasibility 4.81213e+12, work 10153635160
P87 phase 1, iter 44000: infeasibility 4.81128e+12, work 10354139524
P87 phase 1, iter 45000: infeasibility 4.8102e+12, work 10585503235
P87 phase 1, iter 46000: infeasibility 4.79547e+12, work 10891427334
P87 phase 1, iter 47000: infeasibility 4.79122e+12, work 11162493083
P87 phase 1, iter 48000: infeasibility 4.76009e+12, work 11438908028
P87 phase 1, iter 49000: infeasibility 4.7171e+12, work 11729044726
P87 phase 1, iter 50000: infeasibility 4.70555e+12, work 12047759616
P87 phase 1, iter 51000: infeasibility 4.70346e+12, work 12313242095
P87 phase 1, iter 52000: infeasibility 4.70213e+12, work 12580109176
P87 phase 1, iter 53000: infeasibility 4.68791e+12, work 12861269771
P87 phase 1, iter 54000: infeasibility 4.64207e+12, work 13153926769
P87 phase 1, iter 55000: infeasibility 4.62603e+12, work 13461840216
P87 phase 1, iter 56000: infeasibility 4.6096e+12, work 13742459950
P87 phase 1, iter 57000: infeasibility 4.59051e+12, work 14020176875
P87 phase 1, iter 58000: infeasibility 4.58443e+12, work 14335697815
P87 phase 1, iter 59000: infeasibility 4.5817e+12, work 14654886484
P87 phase 1, iter 60000: infeasibility 4.57747e+12, work 14995774412
P87 phase 1, iter 61000: infeasibility 4.59094e+12, work 15333711058
P87 phase 1, iter 62000: infeasibility 4.58321e+12, work 15693369076
P87 phase 1, iter 63000: infeasibility 4.57848e+12, work 16050833105
P87 phase 1, iter 64000: infeasibility 4.5758e+12, work 16399957648
P87 phase 1, iter 65000: infeasibility 4.57454e+12, work 16769891616
P87 phase 1, iter 66000: infeasibility 4.56768e+12, work 17044426365
P87 phase 1, iter 67000: infeasibility 4.56295e+12, work 17366561455
P87 phase 1, iter 68000: infeasibility 4.56077e+12, work 17696081980
P87 phase 1, iter 69000: infeasibility 4.55843e+12, work 18028228772
P87 phase 1, iter 70000: infeasibility 4.55335e+12, work 18387385514
P87 phase 1, iter 71000: infeasibility 4.52391e+12, work 18728771110
P87 phase 1, iter 72000: infeasibility 4.51626e+12, work 19071965305
P87 phase 1, iter 73000: infeasibility 4.50701e+12, work 19414403328
P87 phase 1, iter 74000: infeasibility 4.50321e+12, work 19762641226
P87 phase 1, iter 75000: infeasibility 4.49252e+12, work 20127663864
P87 phase 1, iter 76000: infeasibility 4.48799e+12, work 20489719866
P87 phase 1, iter 77000: infeasibility 4.47604e+12, work 20843586087
P87 phase 1, iter 78000: infeasibility 4.45779e+12, work 21191319532
P87 phase 1, iter 79000: infeasibility 4.44747e+12, work 21551536179
P87 phase 1, iter 80000: infeasibility 4.41893e+12, work 21897882999
P87 phase 1, iter 81000: infeasibility 4.41446e+12, work 22263225247
P87 phase 1, iter 82000: infeasibility 4.40719e+12, work 22630382936
P87 phase 1, iter 83000: infeasibility 4.40436e+12, work 22980419125
P87 phase 1, iter 84000: infeasibility 4.39965e+12, work 23338852776
P87 phase 1, iter 85000: infeasibility 4.3937e+12, work 23685613774
P87 phase 1, iter 86000: infeasibility 4.32118e+12, work 24023839114
P87 phase 1, iter 87000: infeasibility 4.31907e+12, work 24366179499
P87 phase 1, iter 88000: infeasibility 4.30524e+12, work 24713627514
P87 phase 1, iter 89000: infeasibility 4.30039e+12, work 25062075670
P87 phase 1, iter 90000: infeasibility 4.26864e+12, work 25405554319
P87 phase 1, iter 91000: infeasibility 4.08881e+12, work 25778121543
P87 phase 1, iter 92000: infeasibility 4.12063e+12, work 26131491890
P87 phase 1, iter 93000: infeasibility 4.10951e+12, work 26455805614
P87 phase 1, iter 94000: infeasibility 4.09741e+12, work 26804451341
P87 phase 1, iter 95000: infeasibility 4.09062e+12, work 27152213558
P87 phase 1, iter 96000: infeasibility 4.08469e+12, work 27508771909
P87 phase 1, iter 97000: infeasibility 4.04033e+12, work 27876978343
P87 phase 1, iter 98000: infeasibility 4.03409e+12, work 28262211788
P87 phase 1, iter 99000: infeasibility 4.08851e+12, work 28605769248
P87 phase 1, iter 100000: infeasibility 4.07603e+12, work 28956661844
P87 phase 1, iter 101000: infeasibility 4.05637e+12, work 29337074759
P87 phase 1, iter 102000: infeasibility 4.05876e+12, work 29729898960
P87 phase 1, iter 103000: infeasibility 4.04738e+12, work 30100136883
P87 phase 1, iter 104000: infeasibility 4.0346e+12, work 30469126883
P87 phase 1, iter 105000: infeasibility 4.02898e+12, work 30848106159
P87 phase 1, iter 106000: infeasibility 3.94406e+12, work 31242674458
P87 phase 1, iter 107000: infeasibility 3.94064e+12, work 31670109364
P87 phase 1, iter 108000: infeasibility 3.77759e+12, work 32048187824
P87 phase 1, iter 109000: infeasibility 3.12379e+12, work 32411778864
P87 phase 1, iter 110000: infeasibility 2.82215e+12, work 32789368089
P87 phase 1, iter 111000: infeasibility 2.80716e+12, work 33145191993
P87 phase 1, iter 112000: infeasibility 2.79158e+12, work 33561286058
P87 phase 1, iter 113000: infeasibility 2.74967e+12, work 33919372988
P87 phase 1, iter 114000: infeasibility 2.69262e+12, work 34293878761
P87 phase 1, iter 115000: infeasibility 2.54047e+12, work 34645189254
P87 phase 1, iter 116000: infeasibility 2.94702e+12, work 34982464697
P87 phase 1, iter 117000: infeasibility 2.66891e+12, work 35340528832
P87 phase 1, iter 118000: infeasibility 2.59869e+12, work 35681138100
P87 phase 1, iter 119000: infeasibility 2.57458e+12, work 35980676947
P87 phase 1, iter 120000: infeasibility 2.57072e+12, work 36262830595
P87 phase 1, iter 121000: infeasibility 2.56896e+12, work 36519607430
P87 phase 1, iter 122000: infeasibility 2.56698e+12, work 36788322755
P87 phase 1, iter 123000: infeasibility 2.5639e+12, work 37071506077
P87 phase 1, iter 124000: infeasibility 2.47044e+12, work 37364125204
P87 phase 1, iter 125000: infeasibility 2.3686e+12, work 37676604917
P87 phase 1, iter 126000: infeasibility 2.09449e+12, work 38007545127
