instance           rows   cols   hits rows_hit    eq    in    ok   dec ok_rows   ok_nz   c0  rng
cre-a.mps          3516   4067      0        0     0     0     0     0       0       0    0    0
cre-b.mps          9648  72447      0        0     0     0     0     0       0       0    0    0
cre-c.mps          3068   3678      0        0     0     0     0     0       0       0    0    0
cre-d.mps          8926  69980      0        0     0     0     0     0       0       0    0    0
ken-07.mps         2426   3602      0        0     0     0     0     0       0       0    0    0
ken-11.mps        14694  21349      0        0     0     0     0     0       0       0    0    0
ken-13.mps        28632  42659      0        0     0     0     0     0       0       0    0    0
ken-18.mps       105127 154699      0        0     0     0     0     0       0       0    0    0
osa-07.mps         1118  23949      0        0     0     0     0     0       0       0    0    0
osa-14.mps         2337  52460      0        0     0     0     0     0       0       0    0    0
osa-30.mps         4350 100024      0        0     0     0     0     0       0       0    0    0
osa-60.mps        10280 232966      0        0     0     0     0     0       0       0    0    0
pds-02.mps         2953   7535      0        0     0     0     0     0       0       0    0    0
pds-06.mps         9881  28655      0        0     0     0     0     0       0       0    0    0
pds-10.mps        16558  48763      0        0     0     0     0     0       0       0    0    0
pds-20.mps        33874 105728      0        0     0     0     0     0       0       0    0    0
