# jaos_write_mps round trip over every gate instance
# tree: 0ff6cdb WITH UNCOMMITTED CHANGES
# date: 2026-08-31T05:54:37Z
# read -> write MPS -> read back -> compare every field with ==

bench/instances/25fv47.mps ok   rows=821    cols=1571   nz=10400
bench/instances/80bau3b.mps ok   rows=2262   cols=9799   nz=21002
bench/instances/adlittle.mps ok   rows=56     cols=97     nz=383
bench/instances/afiro.mps ok   rows=27     cols=32     nz=83
bench/instances/agg.mps  ok   rows=488    cols=163    nz=2410
bench/instances/agg2.mps ok   rows=516    cols=302    nz=4284
bench/instances/agg3.mps ok   rows=516    cols=302    nz=4300
bench/instances/bandm.mps ok   rows=305    cols=472    nz=2494
bench/instances/beaconfd.mps ok   rows=173    cols=262    nz=3375
bench/instances/blend.mps ok   rows=74     cols=83     nz=491
bench/instances/bnl1.mps ok   rows=643    cols=1175   nz=5121
bench/instances/bnl2.mps ok   rows=2324   cols=3489   nz=13999
bench/instances/boeing1.mps ok   rows=351    cols=384    nz=3485
bench/instances/boeing2.mps ok   rows=166    cols=143    nz=1196
bench/instances/bore3d.mps ok   rows=233    cols=315    nz=1429
bench/instances/brandy.mps ok   rows=220    cols=249    nz=2148
bench/instances/capri.mps ok   rows=271    cols=353    nz=1767
bench/instances/cycle.mps ok   rows=1903   cols=2857   nz=20720
bench/instances/czprob.mps ok   rows=929    cols=3523   nz=10669
bench/instances/d2q06c.mps ok   rows=2171   cols=5167   nz=32417
bench/instances/d6cube.mps ok   rows=415    cols=6184   nz=37704
bench/instances/degen2.mps ok   rows=444    cols=534    nz=3978
bench/instances/degen3.mps ok   rows=1503   cols=1818   nz=24646
bench/instances/dfl001.mps ok   rows=6071   cols=12230  nz=35632
bench/instances/e226.mps ok   rows=223    cols=282    nz=2578
bench/instances/etamacro.mps ok   rows=400    cols=688    nz=2409
bench/instances/fffff800.mps ok   rows=524    cols=854    nz=6227
bench/instances/finnis.mps ok   rows=497    cols=614    nz=2310
bench/instances/fit1d.mps ok   rows=24     cols=1026   nz=13404
bench/instances/fit1p.mps ok   rows=627    cols=1677   nz=9868
bench/instances/fit2d.mps ok   rows=25     cols=10500  nz=129018
bench/instances/fit2p.mps ok   rows=3000   cols=13525  nz=50284
bench/instances/forplan.mps ok   rows=161    cols=421    nz=4563
bench/instances/ganges.mps ok   rows=1309   cols=1681   nz=6912
bench/instances/gfrd-pnc.mps ok   rows=616    cols=1092   nz=2377
bench/instances/greenbea.mps ok   rows=2392   cols=5405   nz=30877
bench/instances/greenbeb.mps ok   rows=2392   cols=5405   nz=30877
bench/instances/grow15.mps ok   rows=300    cols=645    nz=5620
bench/instances/grow22.mps ok   rows=440    cols=946    nz=8252
bench/instances/grow7.mps ok   rows=140    cols=301    nz=2612
bench/instances/israel.mps ok   rows=174    cols=142    nz=2269
bench/instances/kb2.mps  ok   rows=43     cols=41     nz=286
bench/instances/lotfi.mps ok   rows=153    cols=308    nz=1078
bench/instances/maros-r7.mps ok   rows=3136   cols=9408   nz=144848
bench/instances/maros.mps ok   rows=846    cols=1443   nz=9614
bench/instances/modszk1.mps ok   rows=687    cols=1620   nz=3168
bench/instances/nesm.mps ok   rows=662    cols=2923   nz=13288
bench/instances/perold.mps ok   rows=625    cols=1376   nz=6018
bench/instances/pilot-ja.mps ok   rows=940    cols=1988   nz=14698
bench/instances/pilot-we.mps ok   rows=722    cols=2789   nz=9126
bench/instances/pilot.mps ok   rows=1441   cols=3652   nz=43167
bench/instances/pilot4.mps ok   rows=410    cols=1000   nz=5141
bench/instances/pilot87.mps ok   rows=2030   cols=4883   nz=73152
bench/instances/pilotnov.mps ok   rows=975    cols=2172   nz=13057
bench/instances/recipe.mps ok   rows=91     cols=180    nz=663
bench/instances/sc105.mps ok   rows=105    cols=103    nz=280
bench/instances/sc205.mps ok   rows=205    cols=203    nz=551
bench/instances/sc50a.mps ok   rows=50     cols=48     nz=130
bench/instances/sc50b.mps ok   rows=50     cols=48     nz=118
bench/instances/scagr25.mps ok   rows=471    cols=500    nz=1554
bench/instances/scagr7.mps ok   rows=129    cols=140    nz=420
bench/instances/scfxm1.mps ok   rows=330    cols=457    nz=2589
bench/instances/scfxm2.mps ok   rows=660    cols=914    nz=5183
