# tree: /mnt/c/Users/vall-/Desktop/projectes/jaos-ref-02168, retire_lent_bounds occurrences: 0
# name  rowabs  rowrel  traffic-of-the-worst-row  gap  gappos  gapneg  objtraf
25fv47.mps      1.708e-13  1.304e-16      4278.67  1.212e-15   1.15e-10  1.712e-12        12646
80bau3b.mps     7.674e-13  1.765e-16      365.879   7.37e-17  1.061e-08  1.136e-10  1.28436e+06
adlittle.mps    4.585e-14   7.32e-17      23.8248  4.296e-17  3.434e-10  2.869e-11       650293
afiro.mps       4.263e-14  5.889e-17          160  1.654e-17  3.351e-15  1.558e-14      464.753
agg.mps         2.022e-10  1.181e-16            0  4.493e-17  3.072e-08  6.683e-09  3.59918e+07
agg2.mps        5.093e-11  1.705e-16      147.144  2.631e-18  9.393e-10  1.061e-10  3.94612e+07
agg3.mps        4.812e-11  1.705e-16      545.561  5.027e-17  4.512e-09  1.261e-09  6.98656e+07
bandm.mps       8.984e-14  1.984e-16      1694.79  3.059e-16  9.188e-13  4.611e-14      1064.31
beaconfd.mps    1.921e-11  8.052e-17       286873   3.63e-17  3.054e-12  4.527e-13      33592.5
blend.mps       3.865e-15  9.398e-17      5.96219  2.948e-16  6.711e-14  1.238e-14      243.044
bnl1.mps        1.091e-13  1.951e-16      10.5067  2.876e-16  3.045e-11   1.95e-13      1991.63
bnl2.mps        1.279e-13   2.03e-16          7.9  1.388e-16   4.32e-12   7.34e-14      1932.81
boeing1.mps     3.908e-14  1.301e-16        186.3  1.482e-16    1.4e-13  3.723e-15      1354.74
boeing2.mps     7.816e-14   8.31e-17      33.0816  4.207e-17  4.556e-14  2.362e-15      573.595
bore3d.mps      1.797e-12  1.052e-16      14855.6   4.91e-17  4.561e-10   3.03e-14      1394.98
brandy.mps      1.914e-13  1.624e-16      3500.94  1.103e-16  2.169e-12  1.498e-13      1518.51
capri.mps       8.823e-13   1.38e-16       821.91  4.351e-16  5.298e-12  1.265e-12      2863.67
cycle.mps       1.912e-12  8.119e-17  2.88346e-30  3.419e-17  1.799e-11  1.345e-16      5.22639
czprob.mps      1.222e-12  1.603e-16      24675.9  4.907e-18  7.361e-11  2.237e-11  4.31937e+06
d2q06c.mps      1.203e-11   2.22e-16      8.38895  4.953e-16  7.466e-08  1.947e-11       142773
d6cube.mps      2.638e-13  2.638e-13  2.63785e-13  4.803e-17  1.956e-11  2.823e-15      315.492
degen2.mps       1.11e-16  2.776e-17          6.4  2.066e-17  1.287e-13  1.256e-15      1478.58
degen3.mps      1.665e-16  1.068e-17         49.6  4.752e-17  2.733e-13  3.901e-16      1149.78
dfl001.mps      1.354e-14  1.252e-16      13.8555  2.336e-16  1.762e-06  1.418e-09  1.12664e+07
e226.mps        1.599e-14  6.891e-17      535.185  4.253e-16  2.503e-13  2.569e-15      140.063
etamacro.mps    1.704e-13  1.708e-16      578.906  3.623e-18  2.374e-13  6.204e-14      2165.05
fffff800.mps    4.405e-12   1.34e-16        14325  2.002e-17   5.87e-08  1.085e-10       555680
finnis.mps      8.439e-07  1.017e-16        8e+10  2.206e-10  0.0001051  2.888e-05  3.19821e+12
fit1d.mps       4.885e-14  2.223e-18      536.839   4.75e-18  9.377e-14  6.876e-15      14246.4
fit1p.mps       1.599e-14  1.298e-16      162.497  1.412e-17  4.707e-13  2.123e-13      9146.38
fit2d.mps       6.883e-14  1.846e-19      4136.61  2.206e-19  3.314e-14  2.934e-15      97384.9
fit2p.mps       3.553e-14  1.593e-16      63.0547  9.579e-18  1.879e-12  5.677e-13      68464.3
forplan.mps     1.057e-12  6.064e-17        47600  1.418e-15  5.907e-07  1.422e-13      1715.61
ganges.mps      1.182e-11  1.929e-16      46654.8   4.09e-15  2.435e-09  1.175e-10       109586
gfrd-pnc.mps    3.638e-12  7.785e-17      30197.5  1.289e-16  4.044e-09   1.38e-09  6.90224e+06
greenbea.mps    4.663e-08  1.005e-16       653215  2.317e-16  2.211e-05  4.288e-08  1.02188e+08
greenbeb.mps    7.566e-12  1.103e-16      67582.7  1.159e-17  2.144e-08  1.381e-10  4.37199e+06
grow15.mps      3.502e-10  1.071e-15       794601  2.344e-16  7.529e-08  4.036e-09  1.06871e+08
grow22.mps      1.705e-08  9.722e-14      7959.73  1.987e-13  6.411e-05  1.244e-07  1.60834e+08
grow7.mps        2.26e-10  1.736e-16      7117.59   3.25e-16  4.111e-08  3.065e-09  4.77878e+07
israel.mps      5.785e-12  6.681e-17         8950  3.555e-17  9.503e-10  6.273e-12  1.09137e+06
kb2.mps           4.2e-13  3.853e-17           20  9.481e-17  6.764e-13  1.583e-13      2294.93
lotfi.mps       2.165e-10  3.665e-17          132  7.605e-17  8.438e-14   4.58e-15      37.7892
maros-r7.mps    4.547e-13  1.932e-16      2729.49  6.387e-17  2.136e-10  2.235e-11  1.49719e+06
maros.mps       3.815e-10  1.579e-16       228295  2.499e-16  6.591e-10  2.958e-11       192480
modszk1.mps     2.183e-11  3.232e-16      59727.7  6.701e-13  6.233e-10  1.929e-10       320.62
nesm.mps        1.367e-12  1.958e-16        21397  3.826e-16  2.641e-08  3.467e-09   1.4076e+07
perold.mps      2.183e-10  1.377e-16  1.25896e+06  3.183e-15  2.482e-10  1.969e-12      9380.76
pilot-ja.mps    1.579e-10   1.74e-16       312831  8.862e-15  9.982e-10  9.458e-13      6113.14
pilot-we.mps    2.843e-10  1.226e-16      2018.35  5.626e-16  6.261e-07  1.157e-09  2.72127e+06
pilot.mps       3.222e-13  1.408e-16      2691.64  9.014e-11  7.131e-05  7.613e-14       557.49
pilot4.mps       7.31e-11  1.245e-16      540.187  9.603e-17  2.179e-11  5.932e-13      2581.14
pilot87.mps     2.035e-12  1.306e-16      631.547  1.703e-13  7.458e-06  1.974e-14      308.108
pilotnov.mps    2.055e-08  5.276e-13       167082  4.008e-14  6.277e-09  4.884e-12      4497.28
recipe.mps              0          0            0   1.44e-16  7.695e-14          0       294.84
sc105.mps       2.842e-14  7.488e-17      89.1515  2.038e-16  7.383e-14  1.118e-14      52.2021
sc205.mps       2.558e-13  9.706e-17      89.1515  3.327e-16  3.568e-13  1.634e-14      52.2021
sc50a.mps       2.842e-14   5.45e-17      113.431  1.462e-16  4.175e-14  7.744e-15      64.5751
sc50b.mps       1.421e-14  5.468e-17          300  1.405e-17  3.681e-14   1.77e-14           70
scagr25.mps     2.247e-12  7.388e-17          158  1.285e-16  3.323e-08  1.092e-09  2.92827e+07
scagr7.mps      9.783e-13  1.318e-16          158  1.344e-16  3.217e-09  1.964e-10  4.17985e+06
scfxm1.mps      8.775e-13  1.184e-16      2021.21  1.057e-16  2.784e-11  8.737e-13      20788.4
scfxm2.mps      1.209e-12  1.184e-16      251.117  4.993e-17  1.958e-11  2.354e-12      41761.6
scfxm3.mps      1.095e-12  1.089e-16      251.117  7.549e-17  3.816e-11   2.87e-12      62831.6
scorpion.mps    2.958e-16  1.486e-16      1.18771  1.231e-16  6.447e-13  1.806e-13      1878.12
scrs8.mps       1.421e-14  7.211e-17      274.554   7.49e-17  7.972e-12  8.956e-14      904.297
scsd1.mps       6.828e-17  6.828e-17            0  8.402e-17  1.737e-15  1.963e-16      8.66667
scsd6.mps        1.11e-16  6.881e-17            0  5.479e-17  9.006e-15  3.417e-15         50.5
scsd8.mps       1.799e-15   1.48e-16            0  6.996e-17  3.236e-13  1.969e-13          905
sctap1.mps      3.553e-15  5.551e-17            5  5.057e-18    2.5e-14   3.84e-14      1412.25
sctap2.mps      3.303e-15  9.338e-17            5  7.324e-18  7.527e-14  1.737e-14      1724.81
sctap3.mps      2.776e-15  5.921e-17            5   6.82e-20   2.82e-14  2.617e-14         1424
seba.mps                0          0            5          0          0          0      15711.6
share1b.mps     1.023e-10  1.121e-16      87147.9  3.216e-15  5.437e-10  4.902e-11      88310.6
share2b.mps     1.404e-13  6.113e-17      426.172  5.402e-16  3.367e-12   2.88e-13       454.26
shell.mps               0          0        26307          0          0          0  1.20883e+09
ship04l.mps     6.772e-15  3.612e-17      5.99919  2.668e-17  1.086e-10  3.139e-12  1.79332e+06
ship04s.mps     1.998e-15  5.551e-17      98.0445  1.312e-17   7.69e-11  1.771e-11  1.79871e+06
ship08l.mps     4.496e-15  4.477e-17      49.0291  1.198e-17  3.066e-10   4.87e-11  1.90906e+06
ship08s.mps     3.345e-15   1.48e-16      47.9156  5.161e-17  4.718e-10  2.716e-11   1.9201e+06
ship12l.mps     3.608e-15  5.501e-17      6.59666  1.536e-17  2.849e-10  3.455e-11  1.47019e+06
ship12s.mps     4.441e-15    6.6e-17      184.929  7.259e-18  3.246e-10  7.206e-11  1.48924e+06
sierra.mps      1.519e-13  1.039e-13  1.03917e-13   2.76e-15  8.585e-08  8.603e-10  1.53944e+07
stair.mps       5.684e-14  1.202e-16      84.5929  1.335e-15  5.341e-07  2.264e-14      251.267
standata.mps    4.263e-14  2.168e-17      489.399  1.412e-17  7.105e-15  4.263e-14       1257.7
standmps.mps    1.038e-13  5.666e-17      2313.28      4e-17  7.267e-14  1.278e-13      1406.02
stocfor1.mps    7.354e-13  8.042e-17      121.508  1.339e-16  4.065e-11  5.197e-12      48708.8
stocfor2.mps    8.078e-13  1.024e-16       129.62  1.322e-16  4.951e-11  5.722e-12      46404.4
stocfor3.mps    6.706e-13  1.155e-16       129.62  1.678e-16  5.999e-11  6.573e-12      47134.9
truss.mps       7.323e-14   1.55e-16            0  2.462e-16   3.82e-10  1.561e-10       458816
tuff.mps        2.469e-13   8.06e-17      2200.82  3.067e-17  3.221e-14  5.348e-17     0.292148
vtp-base.mps    4.354e-12  5.997e-17       205461   9.49e-17  2.723e-10  1.916e-11       129831
wood1p.mps      1.071e-14  5.129e-15  5.12913e-15  4.321e-16  2.585e-09  2.531e-16       1.4429
woodw.mps       3.481e-14  1.367e-16          0.1  1.427e-16  6.003e-14  5.059e-17      1.30448
