# instrument: bench/measurements/02-176/hadamard.c
# tree: 72ce585
# date: 2026-09-04T15:10:43Z
# an exact verifier's a-priori budget, per gate instance
# capacity: JM_EXACT_LIMBS=128, 4096 bits
# bits: Hadamard bound on log2|det B|, one pass over the basis
# fits: whether that bound is inside the capacity

instance       status          rows    basic   slacks         bits   worstcol   fits
25fv47.mps     optimal          821      648      173       1724.5       8.36    yes
80bau3b.mps    optimal         2262     2123      139       1344.0       6.71    yes
adlittle.mps   optimal           56       46       10         55.4       5.78    yes
afiro.mps      optimal           27       18        9         10.5       0.84    yes
agg.mps        optimal          488       69      419        227.2       8.73    yes
agg2.mps       optimal          516      126      390        375.0       8.73    yes
agg3.mps       optimal          516      127      389        363.8       8.73    yes
bandm.mps      optimal          305      299        6        786.3       7.68    yes
beaconfd.mps   optimal          173       89       84        292.6       9.17    yes
blend.mps      optimal           74       59       15        122.0       6.08    yes
bnl1.mps       optimal          643      477      166        749.2       6.29    yes
bnl2.mps       optimal         2324     1259     1065       1408.5       6.29    yes
boeing1.mps    optimal          351      213      138        698.5      11.82    yes
boeing2.mps    optimal          166       75       91        214.7      10.08    yes
bore3d.mps     optimal          233      145       88        231.9      10.48    yes
brandy.mps     optimal          220      155       65        472.5       8.08    yes
capri.mps      optimal          271      229       42        346.0       7.77    yes
cycle.mps      optimal         1903      658     1245       1861.3       9.87    yes
czprob.mps     optimal          929      882       47        432.0       0.50    yes
d2q06c.mps     optimal         2171     1780      391       6596.4      11.18     NO
d6cube.mps     optimal          415      300      115        810.3       8.57    yes
degen2.mps     optimal          444      336      108        470.1       2.20    yes
degen3.mps     optimal         1503     1143      360       1987.3       2.81    yes
dfl001.mps     optimal         6071     5834      237       4230.3       1.90     NO
e226.mps       optimal          223      138       85        446.4       9.47    yes
etamacro.mps   optimal          400      331       69       1084.1      10.97    yes
fffff800.mps   optimal          524      403      121        902.1      16.74    yes
finnis.mps     optimal          497      274      223        280.8       5.65    yes
fit1d.mps      optimal           24       12       12        104.9       9.72    yes
fit1p.mps      optimal          627      627        0         67.3      12.87    yes
fit2d.mps      optimal           25       20        5        148.5       8.93    yes
fit2p.mps      optimal         3000     3000        0        130.6      13.08    yes
forplan.mps    optimal          161      110       51         85.6      11.37    yes
ganges.mps     optimal         1309     1178      131        526.3       0.79    yes
gfrd-pnc.mps   optimal          616      571       45        532.7      10.54    yes
greenbea.mps   optimal         2392     1875      517       1498.5       6.64    yes
greenbeb.mps   optimal         2392     2063      329       1938.9       6.64    yes
grow15.mps     optimal          300      300        0        -27.7       0.50    yes
grow22.mps     optimal          440      440        0        -12.1       0.50    yes
grow7.mps      optimal          140      140        0        -21.3       0.50    yes
israel.mps     optimal          174       71      103        527.6      11.46    yes
kb2.mps        optimal           43       27       16        131.5       8.16    yes
lotfi.mps      optimal          153      107       46        556.0       9.97    yes
maros-r7.mps   optimal         3136     3136        0        306.4       0.23    yes
maros.mps      optimal          846      552      294       2577.9      14.20    yes
modszk1.mps    optimal          687      667       20        397.5       1.19    yes
nesm.mps       optimal          662      557      105       1138.3       5.54    yes
perold.mps     optimal          625      598       27       2348.4      15.06    yes
pilot-ja.mps   optimal          940      750      190       3924.1      22.98    yes
pilot-we.mps   optimal          722      698       24       3123.4      13.77    yes
pilot.mps      optimal         1441     1314      127        643.0       7.51    yes
pilot4.mps     optimal          410      381       29       1545.4      15.30    yes
pilot87.mps    optimal         2030     1856      174       2397.3       9.97    yes
pilotnov.mps   optimal          975      770      205       3346.5      22.98    yes
recipe.mps     optimal           91       31       60         12.0       0.50    yes
sc105.mps      optimal          105       92       13         76.5       1.29    yes
sc205.mps      optimal          205      191       14        160.4       1.29    yes
sc50a.mps      optimal           50       45        5         37.0       1.29    yes
sc50b.mps      optimal           50       48        2         45.2       1.67    yes
scagr25.mps    optimal          471      323      148        251.3       3.26    yes
scagr7.mps     optimal          129       97       32         84.2       3.26    yes
scfxm1.mps     optimal          330      251       79        471.7       8.27    yes
scfxm2.mps     optimal          660      504      156        942.6       8.27    yes
scfxm3.mps     optimal          990      760      230       1442.3       8.27    yes
scorpion.mps   optimal          388      321       67        199.1       0.97    yes
scrs8.mps      optimal          490      307      183        384.9       7.72    yes
