# the two budgets, joined from 02-177/blocks.txt and 02-178/integral.txt
# k:      the largest block, from blocks.txt
# bits:   that block's Hadamard bound once integral, from integral.txt
# limbs:  ceil(bits / 32), what one number costs
# mem:    k*k numbers of that width, dense, in MiB
# mults:  about k**3/3 products of them
# width:  does bits fit the 4096 the file has
# both:   width, and the block small enough to hold and to run

instance              k       bits   limbs      mem_MiB        mults  width  both
25fv47.mps          364    17724.2     554        281.0     1.61e+07     NO    NO
80bau3b.mps          34     1710.3      54          0.2     1.31e+04    yes   yes
adlittle.mps         19     1066.9      34          0.0     2.29e+03    yes   yes
afiro.mps             4      215.1       7          0.0         21.3    yes   yes
agg.mps               9      509.7      16          0.0          243    yes   yes
agg2.mps              3      157.6       5          0.0            9    yes   yes
agg3.mps              3      176.4       6          0.0            9    yes   yes
bandm.mps            83     4306.7     135          3.6     1.91e+05     NO    NO
beaconfd.mps          1        4.6       1          0.0        0.333    yes   yes
blend.mps            16      827.1      26          0.0     1.37e+03    yes   yes
bnl1.mps             77     3716.7     117          2.7     1.52e+05    yes   yes
bnl2.mps            135     6961.0     218         15.3      8.2e+05     NO    NO
boeing1.mps          41      601.8      19          0.1      2.3e+04    yes   yes
boeing2.mps           7      228.3       8          0.0          114    yes   yes
bore3d.mps           44     2227.7      70          0.5     2.84e+04    yes   yes
brandy.mps           90     4947.3     155          4.9     2.43e+05     NO    NO
capri.mps            46     1855.4      58          0.5     3.24e+04    yes   yes
cre-a.mps           115     3546.2     111          5.7     5.07e+05    yes   yes
cre-b.mps           180     4563.1     143         17.9     1.94e+06     NO    NO
cre-c.mps           167     4287.4     134         14.5     1.55e+06     NO    NO
cre-d.mps           109      859.2      27          1.3     4.32e+05    yes   yes
cycle.mps            70     3927.7     123          2.3     1.14e+05    yes   yes
czprob.mps            6      319.7      10          0.0           72    yes   yes
d2q06c.mps          892    42807.6    1338       4067.2     2.37e+08     NO    NO
d6cube.mps          223      623.4      20          4.2      3.7e+06    yes   yes
degen2.mps          229      257.6       9          2.2        4e+06    yes   yes
degen3.mps          735      967.4      31         68.0     1.32e+08    yes   yes
