# instrument: bench/measurements/02-178/integral.c
# tree: 9efbf20
# date: 2026-09-04T19:04:43Z
# the Hadamard bound once the basis is made integral (D273)
# capacity: JM_EXACT_LIMBS=128, 4096 bits
# rawwhole:  D271's figure, the basis as read
# rawblock:  D272's figure, its largest block as read
# intwhole:  the whole basis made integral
# intblock:  its largest block made integral -- THE budget
# shift:     the largest row scale needed, in bits
# nonint:    rows that needed a scale at all
# was/now:   did D272 say it fits, and does it fit once integral

instance          rows   rawwhole   rawblock    intwhole    intblock  shift  nonint  was  now
25fv47.mps         821     1724.5      937.4     33508.9     17724.2     65     554  yes   NO
80bau3b.mps       2262     1344.0       12.2     72406.0      1710.3     63     585  yes  yes
adlittle.mps        56       55.4       16.7      2476.6      1066.9     62      26  yes  yes
afiro.mps           27       10.5        1.1       952.9       215.1     56      10  yes  yes
agg.mps            488      227.2       34.8      3998.9       509.7     68     339  yes  yes
agg2.mps           516      375.0        8.7      7104.7       157.6     68     409  yes  yes
agg3.mps           516      363.8       21.4      6814.4       176.4     68     409  yes  yes
bandm.mps          305      786.3      333.3     12201.2      4306.7     61     188  yes   NO
beaconfd.mps       173      292.6        6.6      3858.0         4.6     62      84  yes  yes
blend.mps           74      122.0       48.5      2910.8       827.1     60      50  yes  yes
bnl1.mps           643      749.2      142.5     23464.9      3716.7     62     399  yes  yes
bnl2.mps          2324     1408.5      107.1     57352.2      6961.0     63     713  yes   NO
boeing1.mps        351      698.5      148.9     12241.2       601.8     59      12  yes  yes
boeing2.mps        166      214.7       35.8      4237.1       228.3     59      19  yes  yes
bore3d.mps         233      231.9       62.5      4515.8      2227.7     66      94  yes  yes
brandy.mps         220      472.5      304.6      7952.0      4947.3     63      94  yes   NO
capri.mps          271      346.0       36.4     10419.5      1855.4     66     168  yes  yes
cycle.mps         1903     1861.3      212.4     32665.2      3927.7     69     984  yes  yes
czprob.mps         929      432.0        0.0     45585.2       319.7     62      17  yes  yes
d2q06c.mps        2171     6596.4     3061.5     84193.2     42807.6     65    1432  yes   NO
d6cube.mps         415      810.3      623.4       810.3       623.4      0       0  yes  yes
degen2.mps         444      470.1      257.6       470.1       257.6      0       0  yes  yes
degen3.mps        1503     1987.3      967.4      1987.3       967.4      0       0  yes  yes
dfl001.mps        6071     4230.3     2279.4      6267.7      2280.5     55       8  yes  yes
e226.mps           223      446.4      200.9      7169.0      3070.0     64     121  yes  yes
etamacro.mps       400     1084.1       95.5     12476.1      2435.8     58      99  yes  yes
fffff800.mps       524      902.1       57.3     16364.3       304.3     58     336  yes  yes
finnis.mps         497      280.8        1.5     11362.1       115.4     62     168  yes  yes
