10teams    rc=124 status=           obj=                       nodes=         work=             secs=90.02
air03      rc=0 status=optimal    obj=340160                 nodes=1        work=26197067     secs=0.17
bell3a     rc=0 status=optimal    obj=878430.31599999999     nodes=130529   work=4015506785   secs=57.92
bell5      rc=3 status=time_limit obj=                       nodes=270913   work=4373168294   secs=60.31
blend2     rc=0 status=optimal    obj=7.5989849999999999     nodes=62123    work=9571193158   secs=54.96
dcmulti    rc=0 status=optimal    obj=188182                 nodes=1704     work=1288799847   secs=7.90
egout      rc=0 status=optimal    obj=568.10069999999996     nodes=4228     work=40049421     secs=0.60
enigma     rc=0 status=optimal    obj=0                      nodes=34167    work=3132090854   secs=21.79
fiber      rc=4 status=numerical_error obj=                       nodes=58       work=832624584    secs=3.44
fixnet6    rc=3 status=time_limit obj=                       nodes=24230    work=5115255378   secs=60.07
flugpl     rc=0 status=optimal    obj=1201500                nodes=13748    work=188399501    secs=3.11
gen        rc=3 status=time_limit obj=                       nodes=1645     work=10214492746  secs=60.20
gesa2      rc=3 status=time_limit obj=                       nodes=20214    work=2139219406   secs=60.05
gt2        rc=3 status=time_limit obj=                       nodes=21797    work=12300356799  secs=60.04
khb05250   rc=0 status=optimal    obj=106940226              nodes=62       work=59614403     secs=0.27
l152lav    rc=3 status=time_limit obj=                       nodes=37       work=16044573081  secs=65.20
lseu       rc=0 status=optimal    obj=1120                   nodes=18668    work=2185798947   secs=24.64
mas76      rc=3 status=time_limit obj=                       nodes=20837    work=10632520110  secs=60.04
misc03     rc=3 status=time_limit obj=                       nodes=2578     work=7701296389   secs=60.03
misc06     rc=0 status=optimal    obj=12850.86073738254      nodes=119      work=534518571    secs=3.10
misc07     rc=3 status=time_limit obj=                       nodes=1164     work=11101213615  secs=60.23
mod008     rc=0 status=optimal    obj=307                    nodes=21512    work=4392978323   secs=24.71
mod010     rc=0 status=optimal    obj=6548                   nodes=1        work=15352276     secs=0.08
noswot     rc=3 status=time_limit obj=                       nodes=5471     work=20157978831  secs=60.03
p0033      rc=0 status=optimal    obj=3089                   nodes=1430     work=17590698     secs=0.11
p0201      rc=3 status=time_limit obj=                       nodes=728      work=6263798163   secs=60.14
p0282      rc=3 status=time_limit obj=                       nodes=11140    work=7196201990   secs=60.03
p0548      rc=3 status=time_limit obj=                       nodes=1819     work=18500378874  secs=60.03
p2756      rc=3 status=time_limit obj=                       nodes=7399     work=7548870168   secs=60.04
pk1        rc=4 status=numerical_error obj=                       nodes=1        work=5443795      secs=0.82
pp08a      rc=3 status=time_limit obj=                       nodes=29201    work=6687582991   secs=60.04
qnet1_o    rc=3 status=time_limit obj=                       nodes=80       work=29796400644  secs=60.71
rgn        rc=0 status=optimal    obj=82.199999239999968     nodes=3508     work=1684030379   secs=10.73
set1ch     rc=3 status=time_limit obj=                       nodes=10350    work=5973277445   secs=60.02
stein27    rc=0 status=optimal    obj=18                     nodes=9471     work=378826720    secs=5.74
stein45    rc=3 status=time_limit obj=                       nodes=14334    work=4495737585   secs=60.04
vpm1       rc=3 status=time_limit obj=                       nodes=2463     work=21663479932  secs=60.04
vpm2       rc=3 status=time_limit obj=                       nodes=750      work=24772002787  secs=60.12
