instance      firings    on_eq max_rel_widen
25fv47              6        4          inf
80bau3b           120        0          inf
adlittle            1        1          inf
bandm             134      134          inf
beaconfd            2        0          inf
blend               2        2          inf
bnl1               14       13          inf
bnl2              180      128          inf
boeing1             4        4            4
bore3d             31        7          inf
brandy             12       11          inf
capri               1        1          inf
cycle             318      310          inf
czprob             17       17          inf
d2q06c            277      276          inf
dfl001            734      734          inf
e226                2        0          inf
etamacro           32       32          inf
finnis             24        1          inf
fit1p             627      627          inf
fit2p            3000     3000            5
forplan            18       18          inf
ganges            108      108          inf
gfrd-pnc            2        2    4.329e+04
greenbea           24       24          inf
greenbeb           29       29          inf
grow15             20       20    5.524e+05
grow22             20       20    5.524e+05
grow7              20       20    5.524e+05
kb2                 5        5           35
lotfi               8        8       0.4787
maros              27       20          inf
modszk1            28       28          inf
nesm               50       50          inf
perold             89       81          inf
pilot              14        9          inf
pilot-ja          101       93          inf
pilot-we          223       44          inf
pilot4             87       57          inf
pilot87            22        9          inf
pilotnov          101       93          inf
recipe             16       16          inf
scagr25            25       25       0.2319
scagr7              7        7       0.2319
scfxm1             20       20          inf
scfxm2             40       40          inf
scfxm3             60       60          inf
scorpion            6        6          inf
scrs8              51       51          inf
sctap1            120      120          inf
sctap2            470      470          inf
sctap3            620      620          inf
seba              360      360          inf
share1b            12       12          inf
standata           24       12          100
standmps           24       12          100
tuff               61       58          inf
vtp-base            1        1       0.2222
wood1p              1        1          inf
woodw             165      165          inf
TOTAL firings=8617 on_equality_rows=8096 rel>1=8495 rel>100=4934 instances=60
S2_WIDENING_DONE
