air03     1.000x  nodes 1 -> 1
blend2    0.623x  nodes 6827 -> 2580
dcmulti   3.074x  nodes 585 -> 97
egout     1.726x  nodes 39127 -> 36603
enigma    2.292x  nodes 2888 -> 2617
flugpl    0.439x  nodes 4495 -> 1459
khb05250  1.636x  nodes 243 -> 105
lseu      1.351x  nodes 25947 -> 33993
misc03    4.083x  nodes 803 -> 877
misc06    2.767x  nodes 117 -> 43
mod008    1.223x  nodes 25743 -> 28835
mod010    2.838x  nodes 7 -> 3
p0033     0.643x  nodes 1609 -> 469
p0201     1.371x  nodes 1357 -> 160
rgn       1.307x  nodes 5113 -> 3885
stein27   1.258x  nodes 8949 -> 9177
stein45   1.141x  nodes 107329 -> 105487
geomean 1.437x over 17: 3 better, 13 worse, 5 past 2x
