air03     0.996x  nodes 1 -> 1  cuts 35
bell3a    0.442x  nodes 111279 -> 63607  cuts 22  TREE-CHANGED
bell5     0.081x  nodes 186075 -> 15719  cuts 16  TREE-CHANGED
blend2    1.135x  nodes 5879 -> 6827  cuts 0  TREE-CHANGED
dcmulti   1.025x  nodes 601 -> 585  cuts 33  TREE-CHANGED
egout     8.070x  nodes 4271 -> 39127  cuts 27  TREE-CHANGED
enigma    1.329x  nodes 1518 -> 2888  cuts 6  TREE-CHANGED
flugpl    1.202x  nodes 3281 -> 4495  cuts 10  TREE-CHANGED
gen       0.955x  nodes 709 -> 901  cuts 40  TREE-CHANGED
gt2       5.279x  nodes 903 -> 7178  cuts 11  TREE-CHANGED
khb05250  1.471x  nodes 83 -> 243  cuts 19  TREE-CHANGED
l152lav   1.602x  nodes 1107 -> 2013  cuts 55  TREE-CHANGED
lseu      2.556x  nodes 8529 -> 25947  cuts 12  TREE-CHANGED
misc03    0.633x  nodes 1147 -> 803  cuts 14  TREE-CHANGED
misc06    1.366x  nodes 73 -> 117  cuts 3  TREE-CHANGED
misc07    1.470x  nodes 36457 -> 51847  cuts 21  TREE-CHANGED
mod008    1.267x  nodes 14133 -> 25743  cuts 5  TREE-CHANGED
mod010    38.259x  nodes 1 -> 7  cuts 39  TREE-CHANGED
p0033     1.357x  nodes 925 -> 1609  cuts 8  TREE-CHANGED
p0201     1.044x  nodes 799 -> 1357  cuts 20  TREE-CHANGED
p0282     0.106x  nodes 10403 -> 5091  cuts 26  TREE-CHANGED
rgn       1.043x  nodes 4567 -> 5113  cuts 18  TREE-CHANGED
stein27   0.916x  nodes 9723 -> 8949  cuts 21  TREE-CHANGED
stein45   1.016x  nodes 109705 -> 107329  cuts 35  TREE-CHANGED
geomean 1.231x over 24: 5 better, 13 worse, 4 past 2x
