# make coverage, 2026-09-21, tree 6ae3966, gcov-14: lines of each src/ file the unit suite runs, lowest first
src/alloc.c           70.83% of     24 lines
src/conictree.c       75.63% of    796 lines
src/concurrent.c      79.08% of    153 lines
src/proof.c           79.63% of    481 lines
src/sys.c             79.83% of    119 lines
src/barrier.c         81.05% of   1604 lines
src/verify.c          81.37% of   1229 lines
src/simplex.c         81.60% of   3006 lines
src/qplib.c           83.97% of    580 lines
src/nl.c              84.29% of    420 lines
src/mip.c             86.20% of   3877 lines
src/model.c           86.72% of   2718 lines
src/osil.c            86.80% of    826 lines
src/util.c            87.18% of    117 lines
total                 87.25% of  30107 lines
src/mps.c             87.63% of    889 lines
src/iis.c             88.11% of    286 lines
src/write.c           88.85% of   2197 lines
src/ranging.c         89.25% of    400 lines
src/exact.c           89.35% of    723 lines
src/lpfmt.c           89.91% of   1001 lines
src/pdlp.c            90.03% of    582 lines
src/relax.c           90.38% of    312 lines
src/conic.c           91.44% of   2594 lines
src/deflate.c         92.02% of    163 lines
src/cbf.c             92.69% of    465 lines
src/symmetry.c        92.93% of    410 lines
src/presolve.c        93.55% of   1303 lines
src/inflate.c         93.69% of    317 lines
src/check.c           93.95% of    760 lines
src/scale.c           94.20% of    207 lines
src/lu.c              95.28% of    784 lines
src/options.c         95.90% of    244 lines
src/chol.c            97.19% of    498 lines
src/status.c         100.00% of     20 lines
src/version.c        100.00% of      2 lines
