name           rows   cols     eq    dbl  dblIF  genIF genIF4    fill4
25fv47.mps      777   1539    486     53     32    118     43       99
80bau3b.mps    2022   9077      0      0      0      0      0        0
adlittle.mps     53     95     13      0      0      0      0        0
afiro.mps        25     32      8      2      2      4      2        2
agg.mps         412    147     32      1      0      5      2        5
agg2.mps        481    301     60      1      0      1      1        2
agg3.mps        481    301     60      1      1      3      2        3
bandm.mps       246    271    112     29     21     42     16       56
beaconfd.mps     97    156     68      6      1     30      1        2
blend.mps        72     81     41      8      8     22      5       14
bnl1.mps        564   1099    215     83     83    119     87      243
bnl2.mps       2114   3252   1178    744    738    974    718     1587
boeing1.mps     298    369      3      0      0      1      0        0
boeing2.mps     125    143      4      0      0      0      0        0
bore3d.mps      136    155    124     53     50     88     21       68
brandy.mps      123    193     89      4      1     23      5       15
capri.mps       245    310    115     22     22     86     35      112
cycle.mps      1572   2279    911    193    193    730    162      277
czprob.mps      689   2753    645    197      0      0      0        0
d2q06c.mps     2098   4880   1221     98     15    138     74      198
d6cube.mps      403   6183    403      0      0      3      0        0
degen2.mps      444    534    221     61      1      2      1        2
degen3.mps     1503   1818    717     91      3     10      2       12
dfl001.mps     6071  11496   5337     15     12   2574   1863     6369
e226.mps        162    258     29      2      2      8      3        7
etamacro.mps    340    516    181     15     13     49     11       24
fffff800.mps    476    817    313     10      8    186     79      191
finnis.mps      399    518     32     16     15     26     18       32
fit1d.mps        24   1026      1      0      0      0      0        0
fit1p.mps       627   1050      0      0      0      0      0        0
fit2d.mps        25  10500      1      0      0      0      0        0
fit2p.mps      3000  10525      0      0      0      0      0        0
forplan.mps     128    392     66      1      1     27      0        0
ganges.mps     1125   1389    992    252    236    499    327      735
gfrd-pnc.mps    590   1064    520    130    130    266    228      362
greenbea.mps   1954   4114   1763    413    407   1215    251      904
greenbeb.mps   1950   4096   1754    413    407   1213    252      902
grow15.mps      300    625    280      0      0      4      0        0
grow22.mps      440    926    420      0      0      4      0        0
grow7.mps       140    281    120      0      0      4      0        0
israel.mps      163    142      0      0      0      0      0        0
kb2.mps          43     36     11      4      4      9      4       12
lotfi.mps       134    292     79      6      6     16      6        6
maros-r7.mps   2156   7448   2156      0      0      0      0        0
maros.mps       690   1080    245     69     57    191     82      155
modszk1.mps     683   1589    655     34     34    164     57      101
nesm.mps        646   2690    422      0      0     71     31       88
perold.mps      600   1180    390     27     19    179     25       71
pilot-ja.mps    835   1495    502     47     38    233     42       84
pilot-we.mps    705   2457    522     45     41    263     42      113
pilot.mps      1392   3371    200      8      8    117     43      145
pilot4.mps      397    864    217     18     18    145     20       67
pilot87.mps    1996   4606    207      6      6    102     29      125
pilotnov.mps    874   1811    543     37     29    210     42       86
recipe.mps       77    123     37      0      0      1      1        3
sc105.mps       104    103     45     13     13     45     45      143
sc205.mps       203    202     90     22     22     90     90      305
sc50a.mps        49     48     20      8      8     20     20       53
sc50b.mps        48     48     20      8      8     20     20       57
scagr25.mps     347    474    274     81     76    168     76      203
scagr7.mps       95    132     76     27     22     42     22       59
scfxm1.mps      281    418    155     11      9     49     13       38
scfxm2.mps      562    836    310     22     18     93     26       76
scfxm3.mps      843   1254    465     33     27    137     39      114
scorpion.mps    292    325    256     62     62    239     75      127
scrs8.mps       450   1083    305     18     18    281    223      560
scsd1.mps        77    760     77      0      0      0      0        0
scsd6.mps       147   1350    147      0      0      0      0        0
scsd8.mps       397   2750    397      0      0      0      0        0
sctap1.mps      284    360      0      0      0      0      0        0
sctap2.mps     1033   1410      0      0      0      0      0        0
sctap3.mps     1408   1860      0      0      0      0      0        0
seba.mps        477    592    109      0      0     15      4       14
share1b.mps     110    208     72      9      0     14      0        0
share2b.mps      93     79     13      0      0      9      0        0
shell.mps       487   1476    485    121     99    239    196      331
ship04l.mps     317   1915    277      4      0      0      0        0
ship04s.mps     241   1291    201     28      0      0      0        0
ship08l.mps     520   3149    448      0      0      0      0        0
ship08s.mps     326   1632    254     40      0      2      0        0
ship12l.mps     687   4224    586      0      0      0      0        0
ship12s.mps     417   1996    316     72      0      0      0        0
sierra.mps     1212   2016    523     90     80     85     80      135
stair.mps       356    385    209     39     39    207     61      223
standata.mps    299   1012    146     16     14     42     18       48
standmps.mps    407   1012    254     16     14     42     18       48
stocfor1.mps     98    100     52     15     15     45     34      149
stocfor2.mps   2129   2015   1127    264    264    938    244      604
stocfor3.mps  16617  15663   8797   2032   2032   7308   1856     4544
truss.mps      1000   8806   1000      0      0      0      0        0
tuff.mps        284    500    193     18     18    166     69      193
vtp-base.mps     51     79     40      1      1      1      0        0
wood1p.mps      171   1801    170      0      0      0      0        0
woodw.mps       723   5286    546      4      0      6      0        0
cre-a.mps      3074   4057    244     59     59    113     38      180
cre-b.mps      5336  31818    772     98     98    174     50      252
cre-c.mps      2584   3592    235     42     34     84     29      159
cre-d.mps      4102  25188    689     64     64    129     43      207
ken-07.mps     1446   2597   1421    490    199    216    216      244
ken-11.mps    10096  16698  10043   4356   3190   3257   3257     3979
ken-13.mps    22548  36504  22477  11492   9292   9360   9360    10258
ken-18.mps    78883 128304  78732  38880  35093  35241  35241    42855
osa-07.mps     1081  23949      0      0      0      0      0        0
osa-14.mps     2300  52460      0      0      0      0      0        0
osa-30.mps     4313 100024      0      0      0      0      0        0
osa-60.mps    10243 232965      0      0      0      0      0        0
pds-02.mps     2609   7172   2442    418    418   1238    699     1433
pds-06.mps     9156  27852   8536    924    924   2477   1696     4115
pds-10.mps    15648  47729  14597   1298   1298   3398   2496     6362
pds-20.mps    32287 103981  30088   2261   2261   5664   4464    12017
