# clique-fix sweep, tree bcfbc1f, 2026-09-08T12:58Z
# name arm status work nodes | table line; fixings line
air03 off optimal 28550389 1 | clique table: 134493 conflicts over 1874 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
air03 on optimal 28550389 1 | clique table: 134493 conflicts over 1874 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
air03 probing optimal 43006375 1 | clique table: 243318 conflicts over 10735 literals, 113549 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
bell3a off optimal 1387888707 64077 | clique table: 22 conflicts over 37 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
bell3a on optimal 1294186381 64077 | clique table: 22 conflicts over 37 literals, 0 of the conflicts from probing;1049378 columns fixed by cliques and 0 nodes cut by the;
bell3a probing optimal 1832683324 77737 | clique table: 223 conflicts over 57 literals, 258 of the conflicts from probing;936698 columns fixed by cliques and 0 nodes cut by them;
bell5 off optimal 2286981193 140595 | clique table: 15 conflicts over 26 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
bell5 on optimal 2246572703 140595 | clique table: 15 conflicts over 26 literals, 0 of the conflicts from probing;689624 columns fixed by cliques and 0 nodes cut by th;
bell5 probing optimal 2247292327 140547 | clique table: 115 conflicts over 43 literals, 134 of the conflicts from probing;1038525 columns fixed by cliques and 0 nodes cut by t;
blend2 off optimal 951348814 5879 | 0 columns fixed by cliques and 0 nodes cut by them;
blend2 on optimal 951348814 5879 | 0 columns fixed by cliques and 0 nodes cut by them;
blend2 probing optimal 953506592 5879 | clique table: 18 conflicts over 11 literals, 18 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
dcmulti off optimal 157076556 415 | clique table: 32 conflicts over 49 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
dcmulti on optimal 151898409 415 | clique table: 32 conflicts over 49 literals, 0 of the conflicts from probing;2176 columns fixed by cliques and 0 nodes cut by them;
dcmulti probing optimal 171150982 463 | clique table: 74 conflicts over 59 literals, 105 of the conflicts from probing;3822 columns fixed by cliques and 0 nodes cut by them;
egout off optimal 62431715 6841 | 0 columns fixed by cliques and 0 nodes cut by them;
egout on optimal 62431715 6841 | 0 columns fixed by cliques and 0 nodes cut by them;
egout probing optimal 62488527 6841 | 0 columns fixed by cliques and 0 nodes cut by them;
enigma off optimal 42962801 2814 | clique table: 891 conflicts over 100 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
enigma on optimal 79627761 5837 | clique table: 891 conflicts over 100 literals, 0 of the conflicts from probing;297069 columns fixed by cliques and 0 nodes cut by them;
enigma probing optimal 72882496 5304 | clique table: 897 conflicts over 100 literals, 114 of the conflicts from probing;281110 columns fixed by cliques and 0 nodes cut by them;
flugpl off optimal 15218915 2445 | 0 columns fixed by cliques and 0 nodes cut by them;
flugpl on optimal 15218915 2445 | 0 columns fixed by cliques and 0 nodes cut by them;
flugpl probing optimal 15218915 2445 | 0 columns fixed by cliques and 0 nodes cut by them;
gen off optimal 2642810 5 | clique table: 203 conflicts over 144 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
gen on optimal 2645655 5 | clique table: 203 conflicts over 144 literals, 0 of the conflicts from probing;2 columns fixed by cliques and 0 nodes cut by them;
gen probing optimal 3469934 5 | clique table: 98 conflicts over 66 literals, 105 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
gt2 off optimal 16975384 445 | clique table: 132 conflicts over 24 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
gt2 on optimal 17757604 477 | clique table: 132 conflicts over 24 literals, 0 of the conflicts from probing;830 columns fixed by cliques and 0 nodes cut by them;
gt2 probing optimal 17757604 477 | clique table: 132 conflicts over 24 literals, 0 of the conflicts from probing;830 columns fixed by cliques and 0 nodes cut by them;
khb05250 off optimal 34096932 81 | 0 columns fixed by cliques and 0 nodes cut by them;
khb05250 on optimal 34096932 81 | 0 columns fixed by cliques and 0 nodes cut by them;
khb05250 probing optimal 34434220 81 | 0 columns fixed by cliques and 0 nodes cut by them;
l152lav off optimal 46020870455 1981 | clique table: 114322 conflicts over 1862 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
l152lav on optimal 41817725012 1989 | clique table: 114322 conflicts over 1862 literals, 0 of the conflicts from probing;922839 columns fixed by cliques and 0 nodes cut by them;
l152lav probing optimal 34127450970 1681 | clique table: 118928 conflicts over 1989 literals, 10201 of the conflicts from probing;1071450 columns fixed by cliques and 0 nodes cut by them;
lseu off optimal 134924104 5949 | clique table: 112 conflicts over 67 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
lseu on optimal 139280608 6227 | clique table: 112 conflicts over 67 literals, 0 of the conflicts from probing;78880 columns fixed by cliques and 0 nodes cut by them;
lseu probing optimal 139303420 6227 | clique table: 112 conflicts over 67 literals, 42 of the conflicts from probing;78880 columns fixed by cliques and 0 nodes cut by them;
misc03 off optimal 159437298 1271 | clique table: 1180 conflicts over 117 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
misc03 on optimal 168345648 1311 | clique table: 1180 conflicts over 117 literals, 0 of the conflicts from probing;30346 columns fixed by cliques and 0 nodes cut by them;
misc03 probing optimal 161638630 1333 | clique table: 1300 conflicts over 145 literals, 336 of the conflicts from probing;34718 columns fixed by cliques and 0 nodes cut by them;
misc06 off optimal 419336074 73 | 0 columns fixed by cliques and 0 nodes cut by them;
misc06 on optimal 419336074 73 | 0 columns fixed by cliques and 0 nodes cut by them;
misc06 probing optimal 419602744 73 | 0 columns fixed by cliques and 0 nodes cut by them;
misc07 off optimal 8474948814 35287 | clique table: 2723 conflicts over 205 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
