# clique-fix sweep, tree 100cab9, 2026-09-08T15:43Z
# name arm status work nodes | table line; fixings line
air03 off optimal 28550389 1 | 0 conflicts over 0 binaries
air03 on optimal 28550389 1 | 0 conflicts over 0 binaries
bell3a off optimal 1387888707 64077 | 0 conflicts over 0 binaries
bell3a on optimal 1388037499 64077 | 0 conflicts over 0 binaries
bell5 off optimal 2286981193 140595 | 0 conflicts over 0 binaries
bell5 on optimal 2297865612 140595 | 0 conflicts over 0 binaries
blend2 off optimal 951348814 5879 | 0 conflicts over 0 binaries
blend2 on optimal 931965631 6071 | 70 conflicts over 137 binaries
dcmulti off optimal 157076556 415 | 0 conflicts over 0 binaries
dcmulti on optimal 144933579 409 | 35 conflicts over 87 binaries
egout off optimal 62431715 6841 | 0 conflicts over 0 binaries
egout on optimal 12870410 887 | 253 conflicts over 279 binaries
enigma off optimal 42962801 2814 | 0 conflicts over 0 binaries
enigma on optimal 34667040 1584 | 269 conflicts over 1093 binaries
flugpl off optimal 15218915 2445 | 0 conflicts over 0 binaries
flugpl on optimal 15305904 2445 | 0 conflicts over 0 binaries
gen off optimal 2642810 5 | 0 conflicts over 0 binaries
gen on optimal 2642810 5 | 0 conflicts over 0 binaries
gt2 off optimal 16975384 445 | 0 conflicts over 0 binaries
gt2 on optimal 16975384 445 | 0 conflicts over 0 binaries
khb05250 off optimal 34096932 81 | 0 conflicts over 0 binaries
khb05250 on optimal 34096932 81 | 0 conflicts over 0 binaries
l152lav off optimal 46020870455 1981 | 0 conflicts over 0 binaries
l152lav on optimal 48471526410 1977 | 34 conflicts over 190 binaries
lseu off optimal 134924104 5949 | 0 conflicts over 0 binaries
lseu on optimal 135663178 5823 | 43 conflicts over 480 binaries
misc03 off optimal 159437298 1271 | 0 conflicts over 0 binaries
misc03 on optimal 150936041 1065 | 133 conflicts over 749 binaries
misc06 off optimal 419336074 73 | 0 conflicts over 0 binaries
misc06 on optimal 419336074 73 | 0 conflicts over 0 binaries
misc07 off optimal 8474948814 35287 | 0 conflicts over 0 binaries
misc07 on optimal 9375499601 27605 | 1563 conflicts over 8983 binaries
mod008 off optimal 158174102 2631 | 0 conflicts over 0 binaries
mod008 on optimal 158174102 2631 | 0 conflicts over 0 binaries
mod010 off optimal 18365795 1 | 0 conflicts over 0 binaries
mod010 on optimal 18365795 1 | 0 conflicts over 0 binaries
p0033 off optimal 5323016 329 | 0 conflicts over 0 binaries
p0033 on optimal 4881454 285 | 69 conflicts over 269 binaries
p0201 off optimal 198334417 797 | 0 conflicts over 0 binaries
p0201 on optimal 198336774 797 | 1 conflicts over 1 binaries
p0282 off optimal 359137555 4997 | 0 conflicts over 0 binaries
p0282 on optimal 352735992 4909 | 40 conflicts over 102 binaries
rgn off optimal 158550175 4233 | 0 conflicts over 0 binaries
rgn on optimal 158550175 4233 | 0 conflicts over 0 binaries
stein27 off optimal 119684299 9181 | 0 conflicts over 0 binaries
stein27 on optimal 119684299 9181 | 0 conflicts over 0 binaries
stein45 off optimal 2819078315 120987 | 0 conflicts over 0 binaries
stein45 on optimal 2819078315 120987 | 0 conflicts over 0 binaries
arm on       geomean 0.924x over 24, 7 better, 5 worse, 0 past 2x, 0 unfinished
