# flow-cover sweep, tree e78c86d, 2026-09-08T15:26Z
# name rounds status work nodes | root line
air03 0 optimal 28550389 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
air03 1 optimal 28834354 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
air03 2 optimal 28834354 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
air03 4 optimal 28834354 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell3a 0 optimal 1387888707 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell3a 1 optimal 1387889649 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell3a 2 optimal 1387890591 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell3a 4 optimal 1387890591 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell5 0 optimal 2286981193 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell5 1 optimal 2286981918 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell5 2 optimal 2286982643 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
bell5 4 optimal 2286982643 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
blend2 0 optimal 951348814 5879 | root: relaxation 6.915675114009086 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
blend2 1 optimal 1180335158 6887 | root: relaxation 6.9156751140090851 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half, 3 flow covers and 0 MIR
blend2 2 optimal 937828179 6254 | root: relaxation 6.9156751140090851 after 4 cuts, 0 of them covers, 0 cliques, 0 zero-half, 4 flow covers and 0 MIR
blend2 4 optimal 937831880 6254 | root: relaxation 6.9156751140090851 after 4 cuts, 0 of them covers, 0 cliques, 0 zero-half, 4 flow covers and 0 MIR
dcmulti 0 optimal 157076556 415 | root: relaxation 185326.38811167399 after 43 cuts, 10 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
dcmulti 1 optimal 166092683 627 | root: relaxation 185339.44163634657 after 56 cuts, 14 of them covers, 0 cliques, 0 zero-half, 9 flow covers and 0 MIR
dcmulti 2 optimal 234439597 687 | root: relaxation 185364.85558785617 after 57 cuts, 12 of them covers, 0 cliques, 0 zero-half, 12 flow covers and 0 MIR
dcmulti 4 optimal 234447807 687 | root: relaxation 185364.85558785617 after 57 cuts, 12 of them covers, 0 cliques, 0 zero-half, 12 flow covers and 0 MIR
egout 0 optimal 62431715 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
egout 1 optimal 62432690 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
egout 2 optimal 62433665 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
egout 4 optimal 62433665 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
enigma 0 optimal 42962801 2814 | root: relaxation 0 after 7 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
enigma 1 optimal 42963789 2814 | root: relaxation 0 after 7 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
enigma 2 optimal 42964777 2814 | root: relaxation 0 after 7 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
enigma 4 optimal 42964777 2814 | root: relaxation 0 after 7 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
flugpl 0 optimal 15218915 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
flugpl 1 optimal 15219057 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
flugpl 2 optimal 15219199 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
flugpl 4 optimal 15219199 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
gen 0 optimal 2642810 5 | root: relaxation 112312.59591387097 after 100 cuts, 14 of them covers, 19 cliques, 0 zero-half, 0 flow covers and 27 MIR
gen 1 optimal 2650514 5 | root: relaxation 112312.59591387097 after 100 cuts, 14 of them covers, 19 cliques, 0 zero-half, 0 flow covers and 27 MIR
gen 2 optimal 2658218 5 | root: relaxation 112312.59591387097 after 100 cuts, 14 of them covers, 19 cliques, 0 zero-half, 0 flow covers and 27 MIR
gen 4 optimal 2673626 5 | root: relaxation 112312.59591387097 after 100 cuts, 14 of them covers, 19 cliques, 0 zero-half, 0 flow covers and 27 MIR
gt2 0 optimal 16975384 445 | root: relaxation 20592.918361102445 after 47 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 36 MIR
gt2 1 optimal 16976353 445 | root: relaxation 20592.918361102445 after 47 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 36 MIR
gt2 2 optimal 16977322 445 | root: relaxation 20592.918361102445 after 47 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 36 MIR
gt2 4 optimal 16979260 445 | root: relaxation 20592.918361102445 after 47 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 36 MIR
khb05250 0 optimal 34096932 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
khb05250 1 optimal 34106435 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
khb05250 2 optimal 34115938 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
khb05250 4 optimal 34115938 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
l152lav 0 optimal 46020870455 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
l152lav 1 optimal 46020901296 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
l152lav 2 optimal 46020932137 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
l152lav 4 optimal 46020993819 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half, 0 flow covers and 0 MIR
lseu 0 optimal 134924104 5949 | root: relaxation 1028.454261601911 after 49 cuts, 12 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 25 MIR
lseu 1 optimal 134924839 5949 | root: relaxation 1028.454261601911 after 49 cuts, 12 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 25 MIR
lseu 2 optimal 134925574 5949 | root: relaxation 1028.454261601911 after 49 cuts, 12 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 25 MIR
lseu 4 optimal 134927044 5949 | root: relaxation 1028.454261601911 after 49 cuts, 12 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 25 MIR
misc03 0 optimal 159437298 1271 | root: relaxation 1910 after 14 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc03 1 optimal 159442156 1271 | root: relaxation 1910 after 14 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc03 2 optimal 159447014 1271 | root: relaxation 1910 after 14 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc03 4 optimal 159447014 1271 | root: relaxation 1910 after 14 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc06 0 optimal 419336074 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc06 1 optimal 419353421 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc06 2 optimal 419370768 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc06 4 optimal 419370768 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc07 0 optimal 8474948814 35287 | root: relaxation 1415 after 26 cuts, 5 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc07 1 optimal 8474967378 35287 | root: relaxation 1415 after 26 cuts, 5 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc07 2 optimal 8474985942 35287 | root: relaxation 1415 after 26 cuts, 5 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
misc07 4 optimal 8475023070 35287 | root: relaxation 1415 after 26 cuts, 5 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
mod008 0 optimal 158174102 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 32 MIR
mod008 1 optimal 158176913 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 32 MIR
mod008 2 optimal 158179724 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 32 MIR
mod008 4 optimal 158185346 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 32 MIR
mod010 0 optimal 18365795 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
mod010 1 optimal 18402050 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
mod010 2 optimal 18438305 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
mod010 4 optimal 18474560 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
p0033 0 optimal 5323016 329 | root: relaxation 2947.4730168884266 after 42 cuts, 11 of them covers, 1 cliques, 0 zero-half, 0 flow covers and 22 MIR
