# clique-fix sweep, tree 8717c24, 2026-09-08T18:28Z
# name arm status work nodes | table line; fixings line
air03 off optimal 28550389 1 | 0 branchings widened to an orbit and 0 columns fixed by orbits
air03 on optimal 38741389 1 | 0 branchings widened to an orbit and 0 columns fixed by orbits
bell3a off optimal 1388037499 64077 | 0 branchings widened to an orbit and 0 columns fixed by orbits
bell3a on optimal 1388042249 64077 | 0 branchings widened to an orbit and 0 columns fixed by orbits
bell5 off optimal 2297865612 140595 | 0 branchings widened to an orbit and 0 columns fixed by orbits
bell5 on optimal 2297869247 140595 | 0 branchings widened to an orbit and 0 columns fixed by orbits
blend2 off optimal 931965631 6071 | 0 branchings widened to an orbit and 0 columns fixed by orbits
blend2 on optimal 958398678 6071 | 0 branchings widened to an orbit and 0 columns fixed by orbits
dcmulti off optimal 144933579 409 | 0 branchings widened to an orbit and 0 columns fixed by orbits
dcmulti on optimal 144957855 409 | 0 branchings widened to an orbit and 0 columns fixed by orbits
egout off optimal 12870410 887 | 0 branchings widened to an orbit and 0 columns fixed by orbits
egout on optimal 12872819 887 | 0 branchings widened to an orbit and 0 columns fixed by orbits
enigma off optimal 34667040 1584 | 0 branchings widened to an orbit and 0 columns fixed by orbits
enigma on optimal 42423804 2139 | 123 branchings widened to an orbit and 0 columns fixed by orbits
flugpl off optimal 15305904 2445 | 0 branchings widened to an orbit and 0 columns fixed by orbits
flugpl on optimal 15306544 2445 | 0 branchings widened to an orbit and 0 columns fixed by orbits
gen off optimal 2642810 5 | 0 branchings widened to an orbit and 0 columns fixed by orbits
gen on optimal 2775363 5 | 0 branchings widened to an orbit and 0 columns fixed by orbits
gt2 off optimal 16975384 445 | 0 branchings widened to an orbit and 0 columns fixed by orbits
gt2 on optimal 16979260 445 | 0 branchings widened to an orbit and 0 columns fixed by orbits
khb05250 off optimal 34096932 81 | 0 branchings widened to an orbit and 0 columns fixed by orbits
khb05250 on optimal 34131187 81 | 0 branchings widened to an orbit and 0 columns fixed by orbits
l152lav off optimal 48471526410 1977 | 0 branchings widened to an orbit and 0 columns fixed by orbits
l152lav on optimal 48471592200 1977 | 0 branchings widened to an orbit and 0 columns fixed by orbits
lseu off optimal 135663178 5823 | 0 branchings widened to an orbit and 0 columns fixed by orbits
lseu on optimal 135665383 5823 | 0 branchings widened to an orbit and 0 columns fixed by orbits
misc03 off optimal 150936041 1065 | 0 branchings widened to an orbit and 0 columns fixed by orbits
misc03 on optimal 62854934 331 | 61 branchings widened to an orbit and 0 columns fixed by orbits
misc06 off optimal 419336074 73 | 0 branchings widened to an orbit and 0 columns fixed by orbits
misc06 on optimal 420837262 73 | 0 branchings widened to an orbit and 0 columns fixed by orbits
misc07 off optimal 9375499601 27605 | 0 branchings widened to an orbit and 0 columns fixed by orbits
misc07 on optimal 3337731876 9063 | 373 branchings widened to an orbit and 0 columns fixed by orbits
mod008 off optimal 158174102 2631 | 0 branchings widened to an orbit and 0 columns fixed by orbits
mod008 on optimal 158179724 2631 | 0 branchings widened to an orbit and 0 columns fixed by orbits
mod010 off optimal 18365795 1 | 0 branchings widened to an orbit and 0 columns fixed by orbits
mod010 on optimal 18441416 1 | 0 branchings widened to an orbit and 0 columns fixed by orbits
p0033 off optimal 4881454 285 | 0 branchings widened to an orbit and 0 columns fixed by orbits
p0033 on optimal 4881944 285 | 0 branchings widened to an orbit and 0 columns fixed by orbits
p0201 off optimal 198336774 797 | 0 branchings widened to an orbit and 0 columns fixed by orbits
p0201 on optimal 358439696 1077 | 19 branchings widened to an orbit and 0 columns fixed by orbits
p0282 off optimal 352735992 4909 | 0 branchings widened to an orbit and 0 columns fixed by orbits
p0282 on optimal 352753812 4909 | 0 branchings widened to an orbit and 0 columns fixed by orbits
rgn off optimal 158550175 4233 | 0 branchings widened to an orbit and 0 columns fixed by orbits
rgn on optimal 109412318 2563 | 76 branchings widened to an orbit and 0 columns fixed by orbits
stein27 off optimal 119684299 9181 | 0 branchings widened to an orbit and 0 columns fixed by orbits
stein27 on optimal 86965921 6531 | 1 branchings widened to an orbit and 0 columns fixed by orbits
stein45 off optimal 2819078315 120987 | 0 branchings widened to an orbit and 0 columns fixed by orbits
stein45 on optimal 2819095423 120987 | 0 branchings widened to an orbit and 0 columns fixed by orbits
arm on       geomean 0.943x over 24, 4 better, 8 worse, 0 past 2x, 0 unfinished
