# probing sweep, tree ebd591c, 2026-09-08T12:40Z
# name arm status work nodes | probing line
air03 0 optimal 40530169 1 | probing: 35 of 35 fractional binaries probed, 0 fixed, 0 other bounds implied, 12786738 work against the root's 24653972
air03 0.5 optimal 40170657 1 | probing: 34 of 35 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 12427226 work against the root's 24653972
air03 1 optimal 40530169 1 | probing: 35 of 35 fractional binaries probed, 0 fixed, 0 other bounds implied, 12786738 work against the root's 24653972
air03 2 optimal 40530169 1 | probing: 35 of 35 fractional binaries probed, 0 fixed, 0 other bounds implied, 12786738 work against the root's 24653972
air03 base optimal 27743431 1 | 
bell3a 0 optimal 3517693898 117317 | probing: 19 of 19 fractional binaries probed, 0 fixed, 16 other bounds implied, 58463 work against the root's 86626
bell3a 0.5 optimal 3517681590 117317 | probing: 15 of 19 fractional binaries probed before the cap, 0 fixed, 16 other bounds implied, 46155 work against the root's 86626
bell3a 1 optimal 3517693898 117317 | probing: 19 of 19 fractional binaries probed, 0 fixed, 16 other bounds implied, 58463 work against the root's 86626
bell3a 2 optimal 3517693898 117317 | probing: 19 of 19 fractional binaries probed, 0 fixed, 16 other bounds implied, 58463 work against the root's 86626
bell3a base optimal 1387889178 64077 | 
bell5 0 optimal 2286939137 140595 | probing: 12 of 12 fractional binaries probed, 0 fixed, 14 other bounds implied, 28368 work against the root's 61317
bell5 0.5 optimal 2286939137 140595 | probing: 12 of 12 fractional binaries probed, 0 fixed, 14 other bounds implied, 28368 work against the root's 61317
bell5 1 optimal 2286939137 140595 | probing: 12 of 12 fractional binaries probed, 0 fixed, 14 other bounds implied, 28368 work against the root's 61317
bell5 2 optimal 2286939137 140595 | probing: 12 of 12 fractional binaries probed, 0 fixed, 14 other bounds implied, 28368 work against the root's 61317
bell5 base optimal 2286981564 140595 | 
blend2 0 optimal 951399986 5879 | probing: 5 of 5 fractional binaries probed, 0 fixed, 9 other bounds implied, 33257 work against the root's 441778
blend2 0.5 optimal 951399986 5879 | probing: 5 of 5 fractional binaries probed, 0 fixed, 9 other bounds implied, 33257 work against the root's 441778
blend2 1 optimal 951399986 5879 | probing: 5 of 5 fractional binaries probed, 0 fixed, 9 other bounds implied, 33257 work against the root's 441778
blend2 2 optimal 951399986 5879 | probing: 5 of 5 fractional binaries probed, 0 fixed, 9 other bounds implied, 33257 work against the root's 441778
blend2 base optimal 951348814 5879 | 
dcmulti 0 optimal 157512044 415 | probing: 49 of 49 fractional binaries probed, 0 fixed, 0 other bounds implied, 429221 work against the root's 714921
dcmulti 0.5 optimal 157442171 415 | probing: 40 of 49 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 359348 work against the root's 714921
dcmulti 1 optimal 157512044 415 | probing: 49 of 49 fractional binaries probed, 0 fixed, 0 other bounds implied, 429221 work against the root's 714921
dcmulti 2 optimal 157512044 415 | probing: 49 of 49 fractional binaries probed, 0 fixed, 0 other bounds implied, 429221 work against the root's 714921
dcmulti base optimal 157082823 415 | 
egout 0 optimal 62502116 6841 | probing: 40 of 40 fractional binaries probed, 0 fixed, 0 other bounds implied, 69880 work against the root's 56103
egout 0.5 optimal 62461935 6841 | probing: 17 of 40 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 29699 work against the root's 56103
egout 1 optimal 62489887 6841 | probing: 33 of 40 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 57651 work against the root's 56103
egout 2 optimal 62502116 6841 | probing: 40 of 40 fractional binaries probed, 0 fixed, 0 other bounds implied, 69880 work against the root's 56103
egout base optimal 62432236 6841 | 
enigma 0 optimal 42968245 2814 | probing: 6 of 6 fractional binaries probed, 0 fixed, 0 other bounds implied, 10380 work against the root's 102366
enigma 0.5 optimal 42968245 2814 | probing: 6 of 6 fractional binaries probed, 0 fixed, 0 other bounds implied, 10380 work against the root's 102366
enigma 1 optimal 42968245 2814 | probing: 6 of 6 fractional binaries probed, 0 fixed, 0 other bounds implied, 10380 work against the root's 102366
enigma 2 optimal 42968245 2814 | probing: 6 of 6 fractional binaries probed, 0 fixed, 0 other bounds implied, 10380 work against the root's 102366
enigma base optimal 42957865 2814 | 
flugpl 0 optimal 15218997 2445 | 
flugpl 0.5 optimal 15218997 2445 | 
flugpl 1 optimal 15218997 2445 | 
flugpl 2 optimal 15218997 2445 | 
flugpl base optimal 15218997 2445 | 
gen 0 optimal 4019184 5 | probing: 21 of 36 fractional binaries probed, 0 fixed, 42 other bounds implied, 447678 work against the root's 753779
