# zero-half sweep, tree 7e9bd3d, 2026-09-08T13:57Z
# name rounds status work nodes | root line
air03 0 optimal 28550389 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half and 0 MIR
air03 1 optimal 30194844 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half and 0 MIR
air03 2 optimal 30194844 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half and 0 MIR
air03 4 optimal 30194844 1 | root: relaxation 340160 after 37 cuts, 0 of them covers, 2 cliques, 0 zero-half and 0 MIR
bell3a 0 optimal 1387888707 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
bell3a 1 optimal 1387953763 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
bell3a 2 optimal 1388019134 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
bell3a 4 optimal 1388019134 64077 | root: relaxation 869692.8173383479 after 22 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
bell5 0 optimal 2286981193 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
bell5 1 optimal 2286999516 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
bell5 2 optimal 2287010105 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
bell5 4 optimal 2287010105 140595 | root: relaxation 8653018.030283289 after 16 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
blend2 0 optimal 951348814 5879 | root: relaxation 6.915675114009086 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
blend2 1 optimal 951351183 5879 | root: relaxation 6.915675114009086 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
blend2 2 optimal 951351183 5879 | root: relaxation 6.915675114009086 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
blend2 4 optimal 951351183 5879 | root: relaxation 6.915675114009086 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
dcmulti 0 optimal 157076556 415 | root: relaxation 185326.38811167399 after 43 cuts, 10 of them covers, 0 cliques, 0 zero-half and 0 MIR
dcmulti 1 optimal 157163333 415 | root: relaxation 185326.38811167399 after 43 cuts, 10 of them covers, 0 cliques, 0 zero-half and 0 MIR
dcmulti 2 optimal 157256660 415 | root: relaxation 185326.38811167399 after 43 cuts, 10 of them covers, 0 cliques, 0 zero-half and 0 MIR
dcmulti 4 optimal 157443314 415 | root: relaxation 185326.38811167399 after 43 cuts, 10 of them covers, 0 cliques, 0 zero-half and 0 MIR
egout 0 optimal 62431715 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half and 3 MIR
egout 1 optimal 62432236 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half and 3 MIR
egout 2 optimal 62432757 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half and 3 MIR
egout 4 optimal 62432757 6841 | root: relaxation 300.06080243800017 after 30 cuts, 0 of them covers, 0 cliques, 0 zero-half and 3 MIR
enigma 0 optimal 42962801 2814 | root: relaxation 0 after 7 cuts, 1 of them covers, 0 cliques, 0 zero-half and 0 MIR
enigma 1 optimal 106434679 6749 | root: relaxation 0 after 63 cuts, 7 of them covers, 0 cliques, 50 zero-half and 0 MIR
enigma 2 optimal 106789917 6749 | root: relaxation 0 after 63 cuts, 7 of them covers, 0 cliques, 50 zero-half and 0 MIR
enigma 4 optimal 107500393 6749 | root: relaxation 0 after 63 cuts, 7 of them covers, 0 cliques, 50 zero-half and 0 MIR
flugpl 0 optimal 15218915 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
flugpl 1 optimal 15218997 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
flugpl 2 optimal 15219079 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
flugpl 4 optimal 15219079 2445 | root: relaxation 1171213.7169218417 after 10 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
gen 0 optimal 2642810 5 | root: relaxation 112312.59591387097 after 100 cuts, 14 of them covers, 19 cliques, 0 zero-half and 27 MIR
gen 1 optimal 3071240 5 | root: relaxation 112312.59591387097 after 150 cuts, 14 of them covers, 19 cliques, 50 zero-half and 27 MIR
gen 2 optimal 3078865 3 | root: relaxation 112312.59591387097 after 162 cuts, 14 of them covers, 19 cliques, 62 zero-half and 27 MIR
gen 4 optimal 3117949 3 | root: relaxation 112312.59591387097 after 162 cuts, 14 of them covers, 19 cliques, 62 zero-half and 27 MIR
gt2 0 optimal 16975384 445 | root: relaxation 20592.918361102445 after 47 cuts, 0 of them covers, 0 cliques, 0 zero-half and 36 MIR
gt2 1 optimal 49329069 1175 | root: relaxation 20593.124573315821 after 99 cuts, 0 of them covers, 0 cliques, 50 zero-half and 38 MIR
gt2 2 optimal 49351286 1175 | root: relaxation 20593.124573315821 after 99 cuts, 0 of them covers, 0 cliques, 50 zero-half and 38 MIR
gt2 4 optimal 49395720 1175 | root: relaxation 20593.124573315821 after 99 cuts, 0 of them covers, 0 cliques, 50 zero-half and 38 MIR
khb05250 0 optimal 34096932 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
khb05250 1 optimal 34101083 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
khb05250 2 optimal 34105234 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
khb05250 4 optimal 34105234 81 | root: relaxation 104174745.6883947 after 19 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
l152lav 0 optimal 46020870455 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half and 0 MIR
l152lav 1 optimal 46025579595 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half and 0 MIR
l152lav 2 optimal 46031045612 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half and 0 MIR
l152lav 4 optimal 46038920384 1981 | root: relaxation 4661.2284072544444 after 74 cuts, 17 of them covers, 2 cliques, 0 zero-half and 0 MIR
lseu 0 optimal 134924104 5949 | root: relaxation 1028.454261601911 after 49 cuts, 12 of them covers, 0 cliques, 0 zero-half and 25 MIR
lseu 1 optimal 136995347 5915 | root: relaxation 1028.454261601911 after 100 cuts, 13 of them covers, 0 cliques, 50 zero-half and 25 MIR
lseu 2 optimal 172050250 7025 | root: relaxation 1028.454261601911 after 152 cuts, 13 of them covers, 0 cliques, 100 zero-half and 27 MIR
lseu 4 optimal 172617367 7025 | root: relaxation 1028.454261601911 after 158 cuts, 13 of them covers, 0 cliques, 106 zero-half and 27 MIR
misc03 0 optimal 159437298 1271 | root: relaxation 1910 after 14 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
misc03 1 optimal 197310903 1487 | root: relaxation 1910 after 52 cuts, 30 of them covers, 0 cliques, 8 zero-half and 0 MIR
misc03 2 optimal 310208612 2091 | root: relaxation 1972.5 after 54 cuts, 19 of them covers, 1 cliques, 20 zero-half and 0 MIR
misc03 4 optimal 192282811 1211 | root: relaxation 2035 after 63 cuts, 23 of them covers, 2 cliques, 24 zero-half and 0 MIR
misc06 0 optimal 419336074 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
misc06 1 optimal 419344561 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
misc06 2 optimal 419353048 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
misc06 4 optimal 419353048 73 | root: relaxation 12842.665499934983 after 3 cuts, 0 of them covers, 0 cliques, 0 zero-half and 0 MIR
misc07 0 optimal 8474948814 35287 | root: relaxation 1415 after 26 cuts, 5 of them covers, 0 cliques, 0 zero-half and 0 MIR
misc07 1 optimal 12327842227 47753 | root: relaxation 1415 after 49 cuts, 21 of them covers, 0 cliques, 7 zero-half and 0 MIR
misc07 2 optimal 7680321219 32991 | root: relaxation 1425 after 63 cuts, 29 of them covers, 0 cliques, 13 zero-half and 0 MIR
misc07 4 optimal 17117759063 66603 | root: relaxation 1425 after 70 cuts, 29 of them covers, 0 cliques, 20 zero-half and 0 MIR
mod008 0 optimal 158174102 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half and 32 MIR
mod008 1 optimal 158175670 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half and 32 MIR
mod008 2 optimal 158177238 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half and 32 MIR
mod008 4 optimal 158180374 2631 | root: relaxation 298.93142711622966 after 54 cuts, 17 of them covers, 0 cliques, 0 zero-half and 32 MIR
mod010 0 optimal 18365795 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half and 3 MIR
mod010 1 optimal 24393479 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half and 3 MIR
mod010 2 optimal 30352503 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half and 3 MIR
mod010 4 optimal 36300747 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half and 3 MIR
p0033 0 optimal 5323016 329 | root: relaxation 2947.4730168884266 after 42 cuts, 11 of them covers, 1 cliques, 0 zero-half and 22 MIR
p0033 1 optimal 14164734 1043 | root: relaxation 2929.0262131188156 after 92 cuts, 11 of them covers, 1 cliques, 50 zero-half and 22 MIR
p0033 2 optimal 6521019 449 | root: relaxation 2930.4110147604133 after 129 cuts, 11 of them covers, 1 cliques, 84 zero-half and 25 MIR
p0033 4 optimal 6880780 437 | root: relaxation 2930.4110147604133 after 160 cuts, 11 of them covers, 1 cliques, 116 zero-half and 24 MIR
p0201 0 optimal 198334417 797 | root: relaxation 7125 after 89 cuts, 15 of them covers, 0 cliques, 0 zero-half and 54 MIR
p0201 1 optimal 372693212 1465 | root: relaxation 7125 after 119 cuts, 7 of them covers, 0 cliques, 50 zero-half and 42 MIR
p0201 2 optimal 373105861 1465 | root: relaxation 7125 after 119 cuts, 7 of them covers, 0 cliques, 50 zero-half and 42 MIR
p0201 4 optimal 373855895 1465 | root: relaxation 7125 after 119 cuts, 7 of them covers, 0 cliques, 50 zero-half and 42 MIR
p0282 0 optimal 359137555 4997 | root: relaxation 253933.31789691403 after 210 cuts, 68 of them covers, 18 cliques, 0 zero-half and 98 MIR
p0282 1 optimal 324137408 5037 | root: relaxation 253006.89849939046 after 259 cuts, 69 of them covers, 17 cliques, 50 zero-half and 97 MIR
p0282 2 optimal 280495395 5089 | root: relaxation 253006.89849939046 after 307 cuts, 69 of them covers, 16 cliques, 100 zero-half and 96 MIR
p0282 4 optimal 328809981 5043 | root: relaxation 253046.7288612203 after 409 cuts, 69 of them covers, 16 cliques, 200 zero-half and 98 MIR
rgn 0 optimal 158550175 4233 | root: relaxation 67.999998799999972 after 101 cuts, 0 of them covers, 0 cliques, 0 zero-half and 83 MIR
rgn 1 optimal 158551539 4233 | root: relaxation 67.999998799999972 after 101 cuts, 0 of them covers, 0 cliques, 0 zero-half and 83 MIR
