instance              1a826dc   working-tree     ratio
fit2p             52174728691    23342821319   0.44740
fit1p               588853980      467726177   0.79430
d2q06c            26788905827    26787985554   0.99997
pilot87          110478358150   110669039796   1.00173
80bau3b            4550800457     4556743469   1.00131
greenbea           6382064892     6386560212   1.00070
stocfor3          57002958668    56878810047   0.99782
degen3             4046817094     4017015974   0.99264
truss             50749823217    50792171213   1.00083
ship12l             339415525      344480032   1.01492
geometric mean of per-instance ratios: 0.90259  (below 1 = fewer instructions now)
