sp150x300d [--opt mip_cut_rounds=0 --opt mip_mir_rounds=0 --opt mip_cover_rounds=0] root: relaxation 4.8911118399475235 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR branch and bound work: node relaxations 23.4%, cuts 0.0%, heuristics 61.2%, propagation, probing and conflicts 0.1%, strong branching 0.0%, the rest 15.3% 
sp150x300d [] root: relaxation 27.267487207907514 after 38 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR branch and bound work: node relaxations 32.7%, cuts 1.2%, heuristics 53.6%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 12.5% 
sp150x300d [--opt mip_flow_cover_rounds=5] root: relaxation 50.954242346702877 after 125 cuts, 0 of them covers, 0 cliques, 0 zero-half, 87 flow covers and 0 MIR branch and bound work: node relaxations 38.5%, cuts 2.2%, heuristics 53.6%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 5.7% 
sp150x300d [--opt mip_mir_aggregate=6] root: relaxation 27.33531019175588 after 157 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 119 MIR branch and bound work: node relaxations 7.2%, cuts 71.8%, heuristics 19.2%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 1.7% 
sp150x300d [--opt mip_flow_cover_rounds=5 --opt mip_mir_aggregate=6 --opt mip_mir_rounds=20] root: relaxation 50.954253941527739 after 299 cuts, 0 of them covers, 0 cliques, 0 zero-half, 86 flow covers and 175 MIR branch and bound work: node relaxations 5.8%, cuts 80.4%, heuristics 13.2%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 0.6% 
p200x1188c [--opt mip_cut_rounds=0 --opt mip_mir_rounds=0 --opt mip_cover_rounds=0] root: relaxation 5678.607088607595 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR branch and bound work: node relaxations 20.9%, cuts 0.0%, heuristics 78.6%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 0.5% 
p200x1188c [] root: relaxation 5701.1830379746207 after 1 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR branch and bound work: node relaxations 24.2%, cuts 1.1%, heuristics 74.2%, propagation, probing and conflicts 0.1%, strong branching 0.0%, the rest 0.5% 
p200x1188c [--opt mip_flow_cover_rounds=5] root: relaxation 9865.1951898734114 after 12 cuts, 0 of them covers, 0 cliques, 0 zero-half, 11 flow covers and 0 MIR branch and bound work: node relaxations 18.0%, cuts 0.8%, heuristics 81.0%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 0.2% 
p200x1188c [--opt mip_mir_aggregate=6] root: relaxation 5723.0112658226108 after 20 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 19 MIR branch and bound work: node relaxations 5.4%, cuts 35.0%, heuristics 59.5%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 0.1% 
p200x1188c [--opt mip_flow_cover_rounds=5 --opt mip_mir_aggregate=6 --opt mip_mir_rounds=20] root: relaxation 9868.99506168878 after 27 cuts, 0 of them covers, 0 cliques, 0 zero-half, 11 flow covers and 15 MIR branch and bound work: node relaxations 9.3%, cuts 46.2%, heuristics 44.4%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 0.1% 
exp-1-500-5-5 [--opt mip_cut_rounds=0 --opt mip_mir_rounds=0 --opt mip_cover_rounds=0] root: relaxation 28427.048404552152 after 0 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR branch and bound work: node relaxations 13.8%, cuts 0.1%, heuristics 85.6%, propagation, probing and conflicts 0.1%, strong branching 0.0%, the rest 0.4% 
exp-1-500-5-5 [] root: relaxation 39073.797970067099 after 113 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR branch and bound work: node relaxations 18.1%, cuts 1.1%, heuristics 80.4%, propagation, probing and conflicts 0.1%, strong branching 0.0%, the rest 0.3% 
exp-1-500-5-5 [--opt mip_flow_cover_rounds=5] root: relaxation 41086.63482860801 after 210 cuts, 0 of them covers, 0 cliques, 0 zero-half, 97 flow covers and 0 MIR branch and bound work: node relaxations 16.9%, cuts 3.3%, heuristics 79.5%, propagation, probing and conflicts 0.1%, strong branching 0.0%, the rest 0.2% 
exp-1-500-5-5 [--opt mip_mir_aggregate=6] root: relaxation 59626.908940175068 after 4956 cuts, 4 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 4839 MIR branch and bound work: node relaxations 11.2%, cuts 10.7%, heuristics 78.1%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 0.0% 
exp-1-500-5-5 [--opt mip_flow_cover_rounds=5 --opt mip_mir_aggregate=6 --opt mip_mir_rounds=20] root: relaxation 60162.894728239211 after 6642 cuts, 1 of them covers, 0 cliques, 0 zero-half, 100 flow covers and 6428 MIR branch and bound work: node relaxations 11.3%, cuts 20.1%, heuristics 68.6%, propagation, probing and conflicts 0.0%, strong branching 0.0%, the rest 0.0% 
done
